"Iteration","RMSE","ELBO_Proxy"
1,0.98932871485191,-145296.532349549
2,1.05234283920472,-127352.42440397
3,0.999298039709631,-125240.305268735
4,0.997689610569331,-125061.211383947
5,0.997601638875299,-125043.321930494
6,0.997597059531933,-125041.520898199
7,0.997598914244181,-125041.90954883
8,0.997602068418658,-125042.684160601
9,0.997605756174537,-125043.511486565
10,0.997609532041211,-125044.326382404
11,0.997613097654849,-125045.13856474
12,0.997616443760536,-125046.006192559
13,0.997619832523138,-125046.976360675
14,0.997623691605109,-125048.050670366
15,0.997628468804235,-125049.157820531
16,0.997634335875158,-125050.167931265
17,0.997640802715634,-125050.985688196
18,0.997646938265164,-125051.624095239
19,0.997652236973601,-125052.161618403
20,0.997656846843894,-125052.671818942
21,0.997661106820731,-125053.200858451
22,0.997665251479104,-125053.777843121
23,0.997669400346205,-125054.426156705
24,0.99767362029742,-125055.170433806
25,0.997677991163122,-125056.036473702
26,0.997682658149402,-125057.043913893
27,0.997687860144245,-125058.188737012
28,0.997693877048107,-125059.424984904
29,0.997700812285898,-125060.675948877
30,0.997708326604153,-125061.892675764
31,0.997715803998405,-125063.095446098
32,0.997722945154457,-125064.341616375
33,0.997729952455953,-125065.671172654
34,0.9977371784842,-125067.087298039
35,0.997744810484197,-125068.567015936
36,0.997752797211629,-125070.079755732
37,0.997760940166442,-125071.597943969
38,0.997769015433647,-125073.096888657
39,0.997776837616421,-125074.552901145
40,0.997784228555877,-125075.944335826
41,0.997790961784694,-125077.249423049
42,0.997796736256195,-125078.439940431
43,0.997801207086796,-125079.459242426
44,0.997804052881103,-125080.196793703
45,0.997805272456394,-125080.538294206
46,0.997806138909588,-125080.645737662
47,0.997809628854783,-125081.01743952
48,0.997816824323894,-125081.695834528
49,0.997825980690127,-125082.390792502
50,0.997836893884282,-125083.095792853
51,0.997850209069787,-125084.144693953
52,0.997863315308307,-125087.211937875
53,0.997873881102603,-125096.275572019
54,0.997897268655258,-125115.394664521
55,0.997968605379204,-125126.106839515
56,0.998085122893673,-125089.411144977
57,0.998002531993907,-125066.727672977
58,0.997956801370593,-125059.573014644
59,0.997943159715442,-125049.174140004
60,0.997924897775784,-125045.103264714
61,0.997912247969848,-125049.98423839
62,0.997925728247002,-125057.419013249
63,0.997981521539155,-125052.808578738
64,0.997991262092196,-125028.826233625
65,0.997916557050047,-125022.263982803
66,0.997895479982014,-125021.302305314
67,0.997893264215332,-125021.147050051
68,0.997893053353775,-125021.123143903
69,0.997893170918861,-125021.127376339
70,0.997893397606703,-125021.136218639
71,0.997893689365263,-125021.140206424
72,0.997894030707076,-125021.132665593
73,0.997894408822581,-125021.107338288
74,0.997894806185772,-125021.05808858
75,0.997895197407567,-125020.979409549
76,0.997895549935852,-125020.867073786
77,0.997895826796628,-125020.718769151
78,0.99789599194625,-125020.534380892
79,0.997896015606451,-125020.315908276
80,0.997895878022118,-125020.067079249
81,0.997895570679158,-125019.792793165
82,0.997895094834462,-125019.498801316
83,0.997894460449921,-125019.191175029
84,0.997893681780254,-125018.876224278
85,0.997892775972228,-125018.560469981
86,0.997891761556778,-125018.250460826
87,0.9978906555374,-125017.95336984
88,0.997889477527171,-125017.676682145
89,0.997888246043897,-125017.428506963
90,0.99788698122658,-125017.217703164
91,0.997885706169494,-125017.053938817
92,0.997884448410287,-125016.947737623
93,0.997883242073233,-125016.910374456
94,0.997882129398538,-125016.95367605
95,0.997881161816165,-125017.089766152
96,0.9978803994701,-125017.330763858
97,0.997879906026412,-125017.689287594
98,0.997879745099969,-125018.179699044
99,0.99787997212881,-125018.821102411
100,0.99788065096294,-125019.639657429
