"Iteration","RMSE","ELBO_Proxy"
1,0.986602334381887,-143741.783369117
2,1.06245205113333,-127135.796484999
3,0.999269501940675,-124703.624310763
4,0.995676306337891,-124435.283120138
5,0.9954364828511,-124399.707038923
6,0.99542853374434,-124392.7069179
7,0.995432393465795,-124390.612571182
8,0.99543168957488,-124391.24142413
9,0.995432897592576,-124394.805664072
10,0.995445004590182,-124399.137422543
11,0.995469735464525,-124400.346151767
12,0.995498429871533,-124393.765605549
13,0.99549835634018,-124383.091073414
14,0.995455783979779,-124381.745591224
15,0.995462559565353,-124376.778211356
16,0.995452222354772,-124375.08425233
17,0.99544651841982,-124374.900132832
