"seed","K_init","true_cohort","true_beta","yfb_base_shared_beta","yfb_beta_cohort_owning_col","yfb_beta_cohort_other_col_mean"
1,6,1,0.8,0.0940516168703472,0.0994100852074506,0.00293550101626728
1,6,2,0.8,0.0690866927417298,0.0592817278541392,0.00833022223078143
1,12,1,0.8,0.106063162701007,0.0964993116450184,0.056128036979743
1,12,2,0.8,0.0575670237414806,0.0536258306055038,0.0145047281435278
2,6,1,0.8,0.0608984313292853,0.0544254019237307,0.00146370210001648
2,6,2,0.8,0.0370020722576074,0.0342324163310766,0.00249806657851248
2,12,1,0.8,0.0597814600439059,0.0546365910658574,0.00682255669439335
2,12,2,0.8,0.0343076642725638,0.0270202035955612,0.00406263220974892
3,6,1,0.8,0.0971139207319458,0.0890526253434196,0.00864317109611693
3,6,2,0.8,0.0799557452117667,0.0694815759456646,0.0158899713928458
3,12,1,0.8,0.0995612948137384,0.090198437214844,0.00824123553357936
3,12,2,0.8,0.0797224793290488,0.0702619923539954,0.0150508804624954
4,6,1,0.8,0.089787417483859,3.14986454886318,14.5347958067922
4,6,2,0.8,0.0488713848270284,1.92897032779076,11.0642874289137
4,12,1,0.8,0.0897226466979962,0.0816679429294136,0.00524331595824537
4,12,2,0.8,0.0482848445310271,0.0589093519442389,0.0669796019468599
5,6,1,0.8,0.070714060150683,0.0606516655537987,0.00687400001857947
5,6,2,0.8,0.0596026376633341,0.052284938652762,0.0049576479199781
5,12,1,0.8,0.0654819430055664,0.0604199054279762,0.00583142276804153
5,12,2,0.8,0.107818865973567,0.0519450101184805,0.00436076060500841
6,6,1,0.8,1.14866606700084e-09,4.16789188769394e-10,6.05647699427016e-11
6,6,2,0.8,2.18064444746787e-10,1.65056731470574e-10,2.57696453393075e-10
6,12,1,0.8,9.47938525273369e-11,2.96519464214444e-10,4.12125116068923e-11
6,12,2,0.8,6.20364445473195e-10,8.65846184304232e-10,4.00612660325748e-10
7,6,1,0.8,0.0887953754894566,0.0733512058976841,0.0256394665927246
7,6,2,0.8,0.0573938513480182,0.0634915212202024,0.0464985041520322
7,12,1,0.8,0.0893747266866082,0.0726336688932955,0.0159232394380748
7,12,2,0.8,0.0590601752376534,0.0645825955789839,0.0569825430665092
8,6,1,0.8,0.0693540328732669,0.0777032465898163,0.0195102898885504
8,6,2,0.8,0.060959667450506,0.0538657982320885,0.0101714821392001
8,12,1,0.8,0.0718577446177341,0.0778939356232673,0.0192962496753754
8,12,2,0.8,0.0561512091019557,0.0538076032666105,0.0106379288554213
9,6,1,0.8,0.078231297145581,0.0903327918750712,0.113597921860586
9,6,2,0.8,0.061550327116051,0.0483335047177954,0.106832041338324
9,12,1,0.8,0.0804457471519364,0,0
9,12,2,0.8,0.0574767055401072,0,0
10,6,1,0.8,0.0190106712347893,8.19145882485295e-10,2.33970531803165e-10
10,6,2,0.8,0.0530816926667956,0.0246366129287335,0.00359104396125469
10,12,1,0.8,4.27913561474125e-09,7.74401167672423e-10,1.51308410821793e-10
10,12,2,0.8,0.0385205440279542,0.0532014381508575,0.0148890542059967
