"seed","K_init","spec_acc_base","spec_acc_beta_cohort","c_index_base","c_index_beta_cohort"
1,6,0.833333333333333,0.833333333333333,0.849028400597907,0.838066766317887
1,12,1,1,0.860488290981565,0.84304932735426
2,6,0.833333333333333,0.833333333333333,0.838090295796575,0.842241826673586
2,12,1,1,0.835495588998443,0.832900882200311
3,6,1,1,0.808438409311348,0.811833171677983
3,12,1,1,0.81086323957323,0.81086323957323
4,6,0.833333333333333,0.833333333333333,0.782370517928287,0.75996015936255
4,12,1,1,0.783864541832669,0.784860557768924
5,6,0.833333333333333,0.833333333333333,0.783796974133724,0.783308931185944
5,12,0.833333333333333,0.833333333333333,0.784773060029283,0.783308931185944
6,6,1,0.833333333333333,0.806451612903226,0.801564027370479
6,12,1,1,0.810850439882698,0.801075268817204
7,6,1,1,0.831697742885182,0.823846908734053
7,12,1,1,0.831207065750736,0.823356231599607
8,6,1,1,0.864160401002506,0.869674185463659
8,12,1,1,0.866165413533835,0.868671679197995
9,6,1,1,0.859090909090909,0.864141414141414
9,12,1,0.333333333333333,0.862626262626263,0.5
10,6,1,1,0.852504638218924,0.848330241187384
10,12,1,1,0.859925788497217,0.850649350649351
