"strength","seed","arm","K_fit","c_index","k_survival_active","k_genomics_only"
0,1,"YFB_K7",7,0.51039501039501,1,3
0,1,"EBMF_K7",7,0.51039501039501,NA,NA
0,1,"YFB_Ktrue",4,0.505717255717256,1,3
0,1,"EBMF_Ktrue",4,0.51039501039501,NA,NA
0,2,"YFB_K7",7,0.559363525091799,0,5
0,2,"EBMF_K7",7,0.575275397796818,NA,NA
0,2,"YFB_Ktrue",4,0.549571603427173,0,4
0,2,"EBMF_Ktrue",4,0.604039167686659,NA,NA
0,3,"YFB_K7",7,0.512152777777778,1,4
0,3,"EBMF_K7",7,0.518518518518518,NA,NA
0,3,"YFB_Ktrue",4,0.511574074074074,1,3
0,3,"EBMF_Ktrue",4,0.518518518518518,NA,NA
0,4,"YFB_K7",7,0.517415730337079,1,3
0,4,"EBMF_K7",7,0.541011235955056,NA,NA
0,4,"YFB_Ktrue",4,0.517415730337079,1,3
0,4,"EBMF_Ktrue",4,0.541573033707865,NA,NA
0,5,"YFB_K7",7,0.501476668635558,1,3
0,5,"EBMF_K7",7,0.513290017720024,NA,NA
0,5,"YFB_Ktrue",4,0.502067336089781,1,3
0,5,"EBMF_Ktrue",4,0.523331364441819,NA,NA
0,6,"YFB_K7",7,0.52300785634119,0,4
0,6,"EBMF_K7",7,0.511784511784512,NA,NA
0,6,"YFB_Ktrue",4,0.512345679012346,0,4
0,6,"EBMF_Ktrue",4,0.511784511784512,NA,NA
0,7,"YFB_K7",7,0.593460826650216,0,4
0,7,"EBMF_K7",7,0.620604565083282,NA,NA
0,7,"YFB_Ktrue",4,0.592227020357804,0,4
0,7,"EBMF_Ktrue",4,0.601480567550895,NA,NA
0,8,"YFB_K7",7,0.5002895193978,0,4
0,8,"EBMF_K7",7,0.534452808338159,NA,NA
0,8,"YFB_Ktrue",4,0.5002895193978,0,4
0,8,"EBMF_Ktrue",4,0.538506079907354,NA,NA
0,9,"YFB_K7",7,0.540011514104778,0,4
0,9,"EBMF_K7",7,0.56937248128958,NA,NA
0,9,"YFB_Ktrue",4,0.534830166954519,0,4
0,9,"EBMF_Ktrue",4,0.56937248128958,NA,NA
0,10,"YFB_K7",7,0.50779376498801,0,4
0,10,"EBMF_K7",7,0.548561151079137,NA,NA
0,10,"YFB_Ktrue",4,0.505395683453237,0,4
0,10,"EBMF_Ktrue",4,0.517985611510791,NA,NA
0.25,1,"YFB_K7",7,0.604893284747527,2,3
0.25,1,"EBMF_K7",7,0.612701717855284,NA,NA
0.25,1,"YFB_Ktrue",4,0.621551275377408,2,2
0.25,1,"EBMF_Ktrue",4,0.612701717855284,NA,NA
0.25,2,"YFB_K7",7,0.509309967141292,1,3
0.25,2,"EBMF_K7",7,0.56078860898138,NA,NA
0.25,2,"YFB_Ktrue",4,0.559145673603505,2,2
0.25,2,"EBMF_Ktrue",4,0.559145673603505,NA,NA
0.25,3,"YFB_K7",7,0.675082327113063,3,1
0.25,3,"EBMF_K7",7,0.677277716794731,NA,NA
0.25,3,"YFB_Ktrue",4,0.67563117453348,3,1
0.25,3,"EBMF_Ktrue",4,0.677277716794731,NA,NA
0.25,4,"YFB_K7",7,0.643511039310716,3,1
0.25,4,"EBMF_K7",7,0.65751211631664,NA,NA
0.25,4,"YFB_Ktrue",4,0.643511039310716,3,1
0.25,4,"EBMF_Ktrue",4,0.656973613354873,NA,NA
0.25,5,"YFB_K7",7,0.653950953678474,2,2
0.25,5,"EBMF_K7",7,0.660490463215259,NA,NA
0.25,5,"YFB_Ktrue",4,0.655040871934605,2,2
0.25,5,"EBMF_Ktrue",4,0.660490463215259,NA,NA
0.25,6,"YFB_K7",7,0.545912653975364,2,2
0.25,6,"EBMF_K7",7,0.544232922732363,NA,NA
0.25,6,"YFB_Ktrue",4,0.546472564389698,2,2
0.25,6,"EBMF_Ktrue",4,0.543113101903695,NA,NA
0.25,7,"YFB_K7",7,0.592762780011488,2,2
0.25,7,"EBMF_K7",7,0.5944859276278,NA,NA
0.25,7,"YFB_Ktrue",4,0.591614014933946,2,2
0.25,7,"EBMF_Ktrue",4,0.591039632395175,NA,NA
0.25,8,"YFB_K7",7,0.56791569086651,2,3
0.25,8,"EBMF_K7",7,0.560304449648712,NA,NA
0.25,8,"YFB_Ktrue",4,0.560889929742389,3,1
0.25,8,"EBMF_Ktrue",4,0.560304449648712,NA,NA
0.25,9,"YFB_K7",7,0.570205479452055,2,2
0.25,9,"EBMF_K7",7,0.619292237442922,NA,NA
0.25,9,"YFB_Ktrue",4,0.570776255707763,2,2
0.25,9,"EBMF_Ktrue",4,0.621004566210046,NA,NA
0.25,10,"YFB_K7",7,0.605187319884726,3,1
0.25,10,"EBMF_K7",7,0.604610951008645,NA,NA
0.25,10,"YFB_Ktrue",4,0.607492795389049,3,1
0.25,10,"EBMF_Ktrue",4,0.604610951008645,NA,NA
0.5,1,"YFB_K7",7,0.662650602409639,2,2
0.5,1,"EBMF_K7",7,0.660642570281124,NA,NA
0.5,1,"YFB_Ktrue",4,0.663152610441767,2,2
0.5,1,"EBMF_Ktrue",4,0.660642570281124,NA,NA
0.5,2,"YFB_K7",7,0.642579210672596,2,2
0.5,2,"EBMF_K7",7,0.649805447470817,NA,NA
0.5,2,"YFB_Ktrue",4,0.651473040578099,2,2
0.5,2,"EBMF_Ktrue",4,0.649805447470817,NA,NA
0.5,3,"YFB_K7",7,0.733029381965552,2,2
0.5,3,"EBMF_K7",7,0.73758865248227,NA,NA
0.5,3,"YFB_Ktrue",4,0.733029381965552,2,2
0.5,3,"EBMF_Ktrue",4,0.73758865248227,NA,NA
0.5,4,"YFB_K7",7,0.723626373626374,4,1
0.5,4,"EBMF_K7",7,0.716483516483516,NA,NA
0.5,4,"YFB_Ktrue",4,0.722527472527473,3,1
0.5,4,"EBMF_Ktrue",4,0.721978021978022,NA,NA
0.5,5,"YFB_K7",7,0.775627615062761,3,1
0.5,5,"EBMF_K7",7,0.76673640167364,NA,NA
0.5,5,"YFB_Ktrue",4,0.776150627615063,3,1
0.5,5,"EBMF_Ktrue",4,0.766213389121339,NA,NA
0.5,6,"YFB_K7",7,0.627091203453859,2,2
0.5,6,"EBMF_K7",7,0.627091203453859,NA,NA
0.5,6,"YFB_Ktrue",4,0.627091203453859,2,2
0.5,6,"EBMF_Ktrue",4,0.627091203453859,NA,NA
0.5,7,"YFB_K7",7,0.722602739726027,2,2
0.5,7,"EBMF_K7",7,0.714611872146119,NA,NA
0.5,7,"YFB_Ktrue",4,0.722602739726027,2,2
0.5,7,"EBMF_Ktrue",4,0.712899543378995,NA,NA
0.5,8,"YFB_K7",7,0.673234811165846,3,1
0.5,8,"EBMF_K7",7,0.673234811165846,NA,NA
0.5,8,"YFB_Ktrue",4,0.673234811165846,3,1
0.5,8,"EBMF_Ktrue",4,0.673234811165846,NA,NA
0.5,9,"YFB_K7",7,0.719354838709677,2,2
0.5,9,"EBMF_K7",7,0.709139784946237,NA,NA
0.5,9,"YFB_Ktrue",4,0.717741935483871,2,2
0.5,9,"EBMF_Ktrue",4,0.709139784946237,NA,NA
0.5,10,"YFB_K7",7,0.750805585392052,3,1
0.5,10,"EBMF_K7",7,0.755102040816326,NA,NA
0.5,10,"YFB_Ktrue",4,0.755102040816326,3,1
0.5,10,"EBMF_Ktrue",4,0.755102040816326,NA,NA
1,1,"YFB_K7",7,0.785822021116139,2,2
1,1,"EBMF_K7",7,0.757164404223228,NA,NA
1,1,"YFB_Ktrue",4,0.787833081950729,2,2
1,1,"EBMF_Ktrue",4,0.757164404223228,NA,NA
1,2,"YFB_K7",7,0.761618370694368,2,2
1,2,"EBMF_K7",7,0.758884636413341,NA,NA
1,2,"YFB_Ktrue",4,0.759978130125752,2,2
1,2,"EBMF_Ktrue",4,0.761071623838163,NA,NA
1,3,"YFB_K7",7,0.815336463223787,3,1
1,3,"EBMF_K7",7,0.814293166405842,NA,NA
1,3,"YFB_Ktrue",4,0.814814814814815,3,1
1,3,"EBMF_Ktrue",4,0.814293166405842,NA,NA
1,4,"YFB_K7",7,0.846819338422392,4,1
1,4,"EBMF_K7",7,0.8529262086514,NA,NA
1,4,"YFB_Ktrue",4,0.853435114503817,3,1
1,4,"EBMF_Ktrue",4,0.851399491094148,NA,NA
1,5,"YFB_K7",7,0.830117647058824,4,1
1,5,"EBMF_K7",7,0.822588235294118,NA,NA
1,5,"YFB_Ktrue",4,0.827764705882353,3,1
1,5,"EBMF_Ktrue",4,0.824,NA,NA
1,6,"YFB_K7",7,0.785642062689585,2,2
1,6,"EBMF_K7",7,0.783619817997978,NA,NA
1,6,"YFB_Ktrue",4,0.784630940343782,2,2
1,6,"EBMF_Ktrue",4,0.783619817997978,NA,NA
1,7,"YFB_K7",7,0.797227926078029,4,1
1,7,"EBMF_K7",7,0.801848049281314,NA,NA
1,7,"YFB_Ktrue",4,0.807494866529774,2,2
1,7,"EBMF_Ktrue",4,0.80082135523614,NA,NA
1,8,"YFB_K7",7,0.770025839793282,5,0
1,8,"EBMF_K7",7,0.772609819121447,NA,NA
1,8,"YFB_Ktrue",4,0.78656330749354,2,2
1,8,"EBMF_Ktrue",4,0.777777777777778,NA,NA
1,9,"YFB_K7",7,0.815286624203822,3,1
1,9,"EBMF_K7",7,0.820676139147477,NA,NA
1,9,"YFB_Ktrue",4,0.816266536011759,3,1
1,9,"EBMF_Ktrue",4,0.817736403723665,NA,NA
1,10,"YFB_K7",7,0.772445820433437,4,1
1,10,"EBMF_K7",7,0.771929824561403,NA,NA
1,10,"YFB_Ktrue",4,0.774509803921569,3,1
1,10,"EBMF_Ktrue",4,0.771929824561403,NA,NA
2,1,"YFB_K7",7,0.872686230248307,3,1
2,1,"EBMF_K7",7,0.872234762979684,NA,NA
2,1,"YFB_Ktrue",4,0.873589164785553,2,2
2,1,"EBMF_Ktrue",4,0.872234762979684,NA,NA
2,2,"YFB_K7",7,0.860710854947166,5,1
2,2,"EBMF_K7",7,0.873679154658982,NA,NA
2,2,"YFB_Ktrue",4,0.86983669548511,2,2
2,2,"EBMF_Ktrue",4,0.873198847262248,NA,NA
2,3,"YFB_K7",7,0.886877828054299,5,0
2,3,"EBMF_K7",7,0.507792860734037,NA,NA
2,3,"YFB_Ktrue",4,0.886877828054299,2,2
2,3,"EBMF_Ktrue",4,0.507792860734037,NA,NA
2,4,"YFB_K7",7,0.916859122401848,4,0
2,4,"EBMF_K7",7,0.919168591224018,NA,NA
2,4,"YFB_Ktrue",4,0.916859122401848,4,0
2,4,"EBMF_Ktrue",4,0.921016166281755,NA,NA
2,5,"YFB_K7",7,0.906966490299824,3,1
2,5,"EBMF_K7",7,0.8994708994709,NA,NA
2,5,"YFB_Ktrue",4,0.907407407407407,3,1
2,5,"EBMF_Ktrue",4,0.898148148148148,NA,NA
2,6,"YFB_K7",7,0.877714825306893,2,2
2,6,"EBMF_K7",7,0.880075542965061,NA,NA
2,6,"YFB_Ktrue",4,0.877714825306893,2,2
2,6,"EBMF_Ktrue",4,0.880075542965061,NA,NA
2,7,"YFB_K7",7,0.890780141843972,2,2
2,7,"EBMF_K7",7,0.892671394799054,NA,NA
2,7,"YFB_Ktrue",4,0.891725768321513,2,2
2,7,"EBMF_Ktrue",4,0.894089834515366,NA,NA
2,8,"YFB_K7",7,0.876811594202899,4,1
2,8,"EBMF_K7",7,0.879076086956522,NA,NA
2,8,"YFB_Ktrue",4,0.876358695652174,3,1
2,8,"EBMF_Ktrue",4,0.879076086956522,NA,NA
2,9,"YFB_K7",7,0.888382687927107,3,1
2,9,"EBMF_K7",7,0.887927107061503,NA,NA
2,9,"YFB_Ktrue",4,0.888382687927107,3,1
2,9,"EBMF_Ktrue",4,0.889293849658314,NA,NA
2,10,"YFB_K7",7,0.900587437867149,4,1
2,10,"EBMF_K7",7,0.899683687302305,NA,NA
2,10,"YFB_Ktrue",4,0.900587437867149,3,1
2,10,"EBMF_Ktrue",4,0.901039313149571,NA,NA
