"seed","factor","abs_beta","pve","cor_vs_true_shared","best_cor_vs_specific","cor_vs_cohort_dummy"
1,3,0.0067,0.0373,-0.0179,0.9585,0.3771
1,4,0.1607,0.0256,0.9032,0.075,-0.0378
1,9,0.0662,1e-04,0.0252,0.4248,-0.1264
2,1,0.0529,0,0.1733,0.1766,0.0577
2,4,0.1728,0.0298,0.9274,0.114,0.0287
2,5,0.1069,3e-04,0.1537,0.2596,-0.031
2,6,0.0214,0.0183,0.0665,0.9442,-0.4246
3,2,0.0106,0.0312,0.1733,0.9449,0.359
3,5,0.1614,0.0193,0.9065,0.1812,-0.0898
3,6,0.0193,0.0272,0.1567,0.9417,-0.4032
3,7,0.0478,0.0216,0.1508,0.9347,-0.3454
4,1,0.0512,0.0345,0.0247,0.9528,-0.3438
4,4,0.146,0.0343,0.9279,0.0691,0.0076
4,5,0.0118,0.0276,-0.006,0.9483,-0.4025
5,1,0.1458,0.0412,0.9204,0.1101,-0.0496
5,5,0.0571,0.0187,0.1315,0.9314,-0.3882
5,8,0.0262,0.021,-0.017,0.9449,-0.4035
