"condition","K_shared_true","K_specific_true","K_true_total","K_init","seed","K_eff_survival","K_eff_genomics","K_eff_dead","rec_shared","rec_specific","beta_rmse_shared","n_iter"
"A",1,4,5,10,1,3,3,4,0.9265,0.9312,1.3393,38
"A",1,4,5,10,2,4,3,3,0.9316,0.9295,1.3272,40
"A",1,4,5,10,3,4,1,5,0.901,0.9345,1.3386,35
"A",1,4,5,10,4,3,2,5,0.9344,0.941,1.354,57
"A",1,4,5,10,5,3,2,5,0.9415,0.9262,1.3542,34
"A",1,4,5,15,1,3,2,10,0.9265,0.9321,1.3722,42
"A",1,4,5,15,2,4,2,9,0.9312,0.9171,1.3616,25
"A",1,4,5,15,3,4,1,10,0.9012,0.9308,1.3413,39
"A",1,4,5,15,4,2,3,10,0.9345,0.941,1.3555,32
"A",1,4,5,15,5,3,2,10,0.9414,0.9259,1.3545,32
"A",1,4,5,20,1,3,3,14,0.9234,0.9057,1.3834,10
"A",1,4,5,20,2,3,2,15,0.9318,0.9296,1.367,48
"A",1,4,5,20,3,3,3,14,0.8996,0.9255,1.3195,25
"A",1,4,5,20,4,3,2,15,0.9344,0.941,1.3527,38
"A",1,4,5,20,5,3,2,15,0.9416,0.9258,1.3539,29
"B",2,4,6,11,1,3,3,5,0.9211,0.9379,1.1505,41
"B",2,4,6,11,2,3,2,6,0.9274,0.9112,1.1988,36
"B",2,4,6,11,3,6,2,3,0.9039,0.9371,1.2099,22
"B",2,4,6,11,4,3,3,5,0.9309,0.9255,1.1869,57
"B",2,4,6,11,5,2,4,5,0.9348,0.918,1.1716,50
"B",2,4,6,16,1,4,3,9,0.8918,0.9054,1.1726,31
"B",2,4,6,16,2,3,2,11,0.9276,0.9107,1.1983,40
"B",2,4,6,16,3,3,3,10,0.9149,0.9372,1.1569,68
"B",2,4,6,16,4,3,3,10,0.9308,0.9255,1.188,38
"B",2,4,6,16,5,4,4,8,0.9166,0.9188,1.1876,26
"B",2,4,6,21,1,5,2,14,0.8988,0.9312,1.1964,23
"B",2,4,6,21,2,3,2,16,0.927,0.9106,1.1957,36
"B",2,4,6,21,3,5,3,13,0.9155,0.9371,1.1642,38
"B",2,4,6,21,4,5,2,14,0.9298,0.9112,1.1825,52
"B",2,4,6,21,5,2,4,15,0.935,0.918,1.1762,40
"C",2,6,8,13,1,3,5,5,0.901,0.9377,1.1592,73
"C",2,6,8,13,2,4,3,6,0.8949,0.8871,1.1748,27
"C",2,6,8,13,3,3,5,5,0.8979,0.9247,1.1988,20
"C",2,6,8,13,4,7,2,4,0.8185,0.8979,1.2489,29
"C",2,6,8,13,5,4,3,6,0.9208,0.7461,1.1912,24
"C",2,6,8,18,1,7,2,9,0.9,0.935,1.1524,43
"C",2,6,8,18,2,4,3,11,0.9106,0.9136,1.1588,45
"C",2,6,8,18,3,5,5,8,0.8437,0.9199,1.2097,19
"C",2,6,8,18,4,2,6,10,0.9112,0.9112,1.2064,44
"C",2,6,8,18,5,7,1,10,0.8975,0.8991,1.2401,12
"C",2,6,8,23,1,6,4,13,0.9011,0.9376,1.1876,54
"C",2,6,8,23,2,4,3,16,0.911,0.9138,1.1564,83
"C",2,6,8,23,3,3,5,15,0.8981,0.9251,1.1934,55
"C",2,6,8,23,4,2,6,15,0.918,0.9268,1.2068,43
"C",2,6,8,23,5,5,3,15,0.9177,0.9157,1.1823,33
