"scenario","k_setting","K_init","mean_delta","se_delta","n_seeds"
"all_shared","ard_k12",12,0.0207677064178203,0.0120731121730682,15
"all_shared","ard_k20",20,0.0200221525480869,0.0122730388947759,15
"all_shared","oracle_k6",6,0.0203426035250383,0.0123215129963107,15
"all_shared","under_k2",2,-0.00775378403747828,0.00645268499759654,15
"all_shared","under_k3",3,-0.0223840759861247,0.0206379553784019,15
"all_shared","under_k4",4,-0.0260211064923106,0.0252406001349555,15
"hybrid","ard_k12",12,0.0956579939782451,0.03625302267943,15
"hybrid","ard_k20",20,0.0967539160938321,0.0364442824507644,15
"hybrid","oracle_k6",6,0.0952387591894778,0.0364239900383491,15
"hybrid","under_k2",2,-0.00148604987387828,0.00674369768182089,15
"hybrid","under_k3",3,0.112931806253808,0.0327258678625472,15
"hybrid","under_k4",4,0.157076514301676,0.0373261185043108,15
"nothing_shared","ard_k12",12,-0.00305725066866379,0.00587408105673112,15
"nothing_shared","ard_k20",20,-0.00171359362087311,0.00574582360840315,15
"nothing_shared","oracle_k6",6,-0.00359399996685913,0.00530596248162434,15
"nothing_shared","under_k2",2,-0.00272832717244952,0.0043318633548753,15
"nothing_shared","under_k3",3,-0.0119915270186445,0.00467833056700106,15
"nothing_shared","under_k4",4,-0.0128886903565406,0.00687002152289604,15
