"scenario","k_setting","K_init","arm","seed","rec_shared","rec_specific","frac_shared","frac_specific","spec_acc","beta_tp_rate","beta_fp_rate","beta_shared","beta_specific","c_index","n_iter"
"all_shared","under_k2",2,"YFB_base",1,0.257715541001236,NA,0.166666666666667,NA,0.333333333333333,0.166666666666667,NA,0.00184569860862716,NA,0.532740879326473,7
"all_shared","under_k2",2,"EBMF",1,0.257725419784083,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.555191768007484,2
"all_shared","under_k3",3,"YFB_base",1,0.417267281108477,NA,0.333333333333333,NA,0.5,0.5,NA,0.0192721333374707,NA,0.784377923292797,24
"all_shared","under_k3",3,"EBMF",1,0.41730599675843,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.782974742750234,3
"all_shared","under_k4",4,"YFB_base",1,0.561388529063146,NA,0.5,NA,0.666666666666667,0.666666666666667,NA,0.100630178215338,NA,0.849859681945744,70
"all_shared","under_k4",4,"EBMF",1,0.559510723057309,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.850327408793265,4
"all_shared","oracle_k6",6,"YFB_base",1,0.916842077159649,NA,1,NA,1,1,NA,0.142106592288526,NA,0.863423760523854,55
"all_shared","oracle_k6",6,"EBMF",1,0.753221409839067,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.84377923292797,5
"all_shared","ard_k12",12,"YFB_base",1,0.916679880423948,NA,1,NA,1,1,NA,0.149061393204779,NA,0.865762394761459,48
"all_shared","ard_k12",12,"EBMF",1,0.753221409839067,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.84377923292797,5
"all_shared","ard_k20",20,"YFB_base",1,0.916583104413646,NA,1,NA,1,1,NA,0.14203663405996,NA,0.863891487371375,36
"all_shared","ard_k20",20,"EBMF",1,0.753221409839067,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.84377923292797,5
"all_shared","under_k2",2,"YFB_base",2,0.243992713725374,NA,0.166666666666667,NA,0.333333333333333,0,NA,2.01477574377099e-10,NA,0.586466165413534,6
