"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","n_iter"
12,1,"1.0x","YFB_base",1,0.908659144055043,0.927316372786897,1,1,0.25,0.213373106829754,0.00746150786638992,0.829393627954779,38
12,1,"1.0x","YFB_cohort",1,0.91465223435353,0.934147218889398,1,1,0,0.220232332845996,6.05612959816376e-10,0.831963001027749,57
12,1,"1.0x","LB_base",1,0,0.630700770148324,0.833333333333333,0,0.5,0,0.336476814561572,0.536485097636177,19
12,1,"1.0x","LB_cohort",1,0.841323990830529,0.689319428873341,0.666666666666667,1,0.25,1.34239979426093,0.0118142826720264,0.812435765673176,12
12,1,"1.0x","YFB_base",2,0.826739171118526,0.727751144696545,0.833333333333333,1,0.5,0.132520790226189,0.0183114529767541,0.837537840565086,17
12,1,"1.0x","YFB_cohort",2,0.914654102147466,0.90014723613881,1,1,0.25,0.142379505058344,0.0120063258873746,0.818869828456105,23
12,1,"1.0x","LB_base",2,0.901124315620035,0.453590088935316,0.666666666666667,1,0.25,1.1255129445437,0.00728466863802939,0.851664984863774,15
12,1,"1.0x","LB_cohort",2,0.914248862807201,0.450501554399266,0.666666666666667,1,0.25,0.808856866443468,0.00518137923808603,0.847124117053481,20
12,1,"1.0x","YFB_base",3,0.903585130273167,0.921583598888761,1,1,0.5,0.195138232212725,0.0143642192499359,0.761833582461385,31
12,1,"1.0x","YFB_cohort",3,0.913666725169286,0.926274941439577,1,1,0.25,0.21282794652366,0.00450381967188864,0.792227204783259,51
12,1,"1.0x","LB_base",3,0.873864208032495,0.681917301898842,0.833333333333333,1,0,1.23638438921592,1.36968889880011e-08,0.774289985052317,31
12,1,"1.0x","LB_cohort",3,0.898565731456868,0.671778398730325,0.833333333333333,1,0.25,0.778996813857814,0.00428870783119076,0.777777777777778,24
12,1,"1.0x","YFB_base",4,0.914764384075523,0.919514595104852,1,1,0.25,0.164269522416199,0.00543041770259734,0.827656329435689,13
12,1,"1.0x","YFB_cohort",4,0.924378998482031,0.926997609085884,1,1,0.25,0.167776797273107,0.00515178989244073,0.829689883070666,14
12,1,"1.0x","LB_base",4,0.908212983344809,0.690983346507625,0.833333333333333,1,0.25,1.84233026852807,0.0300339541072006,0.827656329435689,13
12,1,"1.0x","LB_cohort",4,0.918040491642483,0.687231771925691,0.833333333333333,1,0.5,1.54262161681434,0.0171547333860821,0.825114387391968,19
12,1,"1.0x","YFB_base",5,0.919445687767307,0.711248806866136,1,1,1,0.195147220220294,0.0798947236426694,0.801,23
12,1,"1.0x","YFB_cohort",5,0.929375393857074,0.907432848887488,1,1,0.25,0.137492690425366,0.01353080139836,0.798,9
12,1,"1.0x","LB_base",5,0.91967456606197,0.887417305635154,1,1,0,1.31146370248848,1.26786377191091e-09,0.8035,12
12,1,"1.0x","LB_cohort",5,0.28693467590936,0.234335655653837,0.5,0,0,4.50398392933944e-09,3.11010600413273e-09,0.568,18
18,2.25,"1.5x","YFB_base",1,0.889596274938198,0.955394466385934,1,1,0.25,0.187825372256366,0.00698939294154973,0.828879753340185,16
18,2.25,"1.5x","YFB_cohort",1,0.894109684508479,0.962793653242211,1,1,0.25,0.181795980865007,0.00333621869637036,0.830421377183967,14
18,2.25,"1.5x","LB_base",1,0.442717818029735,0.945871106870647,1,0.5,0.5,0.314146203495252,0.144473515624828,0.635662898252826,18
18,2.25,"1.5x","LB_cohort",1,0.44292568591409,0.701096818988447,0.833333333333333,0.5,0.5,0.357014104314355,0.152105430419199,0.707091469681398,22
18,2.25,"1.5x","YFB_base",2,0.892011748420507,0.92950305542709,1,1,0.5,0.13037910355796,0.00392042102446837,0.835519677093845,48
18,2.25,"1.5x","YFB_cohort",2,0.910507275970339,0.9424338345774,1,1,0.5,0.163149574085405,0.00940251910213578,0.828960645812311,29
18,2.25,"1.5x","LB_base",2,0.7956610275503,0.471999857229456,0.666666666666667,1,0,0.931980589215387,3.6935486826796e-09,0.734611503531786,10
18,2.25,"1.5x","LB_cohort",2,0.907543378926471,0.693794560517124,0.833333333333333,1,0,0.744764467879194,1.07236199017464e-08,0.847124117053481,27
18,2.25,"1.5x","YFB_base",3,0.883262117986115,0.950950318813023,1,1,0.5,0.170404567727264,0.0101550714565653,0.758345789735924,17
18,2.25,"1.5x","YFB_cohort",3,0.894529611660019,0.955826286934255,1,1,0.5,0.203762408283921,0.00939829540013489,0.776283009466866,37
18,2.25,"1.5x","LB_base",3,0,0.915349576016072,1,0,0.25,0,0.0576876050681906,0.544095665171898,12
18,2.25,"1.5x","LB_cohort",3,0,0.91000429450002,1,0,0.25,0,0.0416121565261985,0.527653213751868,33
18,2.25,"1.5x","YFB_base",4,0.89437486413838,0.949045727095125,1,1,0.25,0.163221215407686,0.0047191238492211,0.830706659888155,13
18,2.25,"1.5x","YFB_cohort",4,0.898508279036656,0.95722720468198,1,1,0.75,0.161694015798619,0.00935786633089896,0.828164717844433,13
18,2.25,"1.5x","LB_base",4,0.884258887197771,0.693697154186879,0.833333333333333,1,0,2.14401314936499,5.66286104095362e-09,0.83375699034062,13
18,2.25,"1.5x","LB_cohort",4,0.895024358106016,0.950697219454969,1,1,0.5,1.94195153376369,0.00557551850253368,0.834265378749365,30
18,2.25,"1.5x","YFB_base",5,0.907336262655525,0.93951401041587,1,1,0.25,0.175140958246317,0.00881910823876896,0.797,17
18,2.25,"1.5x","YFB_cohort",5,0.915447029510001,0.946368430782169,1,1,0.25,0.208634240618795,0.000841357229653324,0.8055,41
18,2.25,"1.5x","LB_base",5,0.904647202298985,0.930149246382429,1,1,0,2.13223602527487,2.42544511893312e-09,0.802,12
