"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","K_init","n_iter"
12,1,"1.0x","YFB_base",1,0.906551633283002,0.89581407691538,1,1,0.25,0.206946927651028,0.00739133236965556,0.827852004110997,20,61
12,1,"1.0x","YFB_cohort",1,0.843851550028723,0.931114829273856,0.833333333333333,1,0,0.195628438355537,2.47655927599071e-09,0.827338129496403,20,19
12,1,"1.0x","LB_base",1,0,0.378832731504066,0.666666666666667,0,0.5,0,0.403614319600078,0.533915724563207,20,41
12,1,"1.0x","LB_cohort",1,0.903444354255548,0.920132562389882,1,1,0.25,1.03968905128788,0.0648065834234506,0.831963001027749,20,26
12,1,"1.0x","YFB_base",2,0.90658694408857,0.889617741973262,1,1,0.25,0.155826930114521,0.0031281266999166,0.841069626639758,20,28
12,1,"1.0x","YFB_cohort",2,0.917817041682356,0.901811219317054,1,1,0,0.166168455625416,3.85212541537891e-09,0.833501513622603,20,26
12,1,"1.0x","LB_base",2,0.900238577837434,0.453636940299534,0.666666666666667,1,0.25,1.16237008574826,0.00696732581690094,0.849142280524723,20,28
12,1,"1.0x","LB_cohort",2,0.907163276927148,0.874922789855666,1,1,0,0.734519155132598,4.13040112757525e-08,0.840060544904137,20,45
12,1,"1.0x","YFB_base",3,0.900970464240802,0.920996970210503,1,1,0.5,0.198052433647255,0.0132475312659579,0.779770802192327,20,46
12,1,"1.0x","YFB_cohort",3,0.913098970318292,0.926081570033331,1,1,0.25,0.220895081184674,0.0049879941735779,0.79372197309417,20,35
12,1,"1.0x","LB_base",3,0.872138610872768,0.681937740099892,0.833333333333333,1,0,1.25852242203335,1.05550678848428e-08,0.772296960637768,20,47
12,1,"1.0x","LB_cohort",3,0.90177288510219,0.669993736521512,0.833333333333333,1,0.25,0.833614638728947,0.00130835920799139,0.771798704534131,20,15
12,1,"1.0x","YFB_base",4,0.914226026885698,0.919477247987519,1,1,0.25,0.175868157697759,0.00593148530221952,0.827656329435689,20,53
12,1,"1.0x","YFB_cohort",4,0.922316887377987,0.927973992087864,1,1,0.25,0.181615700142802,0.0059253786541925,0.828164717844433,20,32
12,1,"1.0x","LB_base",4,0.911306750761499,0.907526409410933,1,1,0,2.21065627789119,1.31456867812381e-08,0.832231825114387,20,22
12,1,"1.0x","LB_cohort",4,0,0,0.333333333333333,0,0,0,0,0.5,20,52
12,1,"1.0x","YFB_base",5,0.698852159553137,0.902899857766991,1,1,0,0.16716147221946,1.01433932513901e-09,0.797,20,54
12,1,"1.0x","YFB_cohort",5,0.917127320715818,0.908909879668306,1,1,0.25,0.154470167826408,0.0229427863580166,0.7915,20,19
12,1,"1.0x","LB_base",5,0.919454189896433,0.888092564723238,1,1,0,1.31491210530713,1.05944423825186e-09,0.8035,20,14
12,1,"1.0x","LB_cohort",5,0.911215250304566,0.467102963880636,0.666666666666667,1,0,1.20688064725432,2.8739246269482e-09,0.8065,20,56
18,2.25,"1.5x","YFB_base",1,0.889339635840955,0.946557342752783,1,1,0.5,0.208729503267725,0.00656645335202499,0.830421377183967,20,74
18,2.25,"1.5x","YFB_cohort",1,0.900275711743319,0.959836917344431,1,1,0,0.21765676864583,0.000140070738451632,0.829907502569373,20,58
18,2.25,"1.5x","LB_base",1,0,0.204645754388443,0.333333333333333,0,0.25,0,0.017447925224237,0.578622816032888,20,193
18,2.25,"1.5x","LB_cohort",1,0,0.42991304471069,0.666666666666667,0,0.25,0,0.162595856561616,0.551387461459404,20,36
18,2.25,"1.5x","YFB_base",2,0.79562271728215,0.927151557033026,1,0.5,0.5,0.028362116066518,0.0181318329013651,0.822906155398587,20,94
