"scenario","strength","seed","max_abs_EF_diff"
"default",0,1,0
"default",0,2,0
"default",0,3,0
"default",0,4,0
"default",0,5,0
"default",0,6,0
"default",0,7,0
"default",0,8,0
"default",0,9,0
"default",0,10,0
"default",0.25,1,0
"default",0.25,2,0
"default",0.25,3,0
"default",0.25,4,0
"default",0.25,5,0
"default",0.25,6,0
"default",0.25,7,0
"default",0.25,8,0
"default",0.25,9,0
"default",0.25,10,0
"default",0.5,1,0
"default",0.5,2,0
"default",0.5,3,0
"default",0.5,4,0
"default",0.5,5,0
"default",0.5,6,0
"default",0.5,7,0
"default",0.5,8,0
"default",0.5,9,0
"default",0.5,10,0
"default",1,1,0
"default",1,2,0
"default",1,3,0
"default",1,4,0
"default",1,5,0
"default",1,6,0
"default",1,7,0
"default",1,8,0
"default",1,9,0
"default",1,10,0
"default",2,1,0
"default",2,2,0
"default",2,3,0
"default",2,4,0
"default",2,5,0
"default",2,6,0
"default",2,7,0
"default",2,8,0
"default",2,9,0
"default",2,10,0
"default",4,1,0
"default",4,2,0
"default",4,3,0
"default",4,4,0
"default",4,5,0
"default",4,6,0
"default",4,7,0
"default",4,8,0
"default",4,9,0
"default",4,10,0
"sparse_synthetic",0,1,0
"sparse_synthetic",0,2,0
"sparse_synthetic",0,3,0
"sparse_synthetic",0,4,0
"sparse_synthetic",0,5,0
"sparse_synthetic",0,6,0
"sparse_synthetic",0,7,0
"sparse_synthetic",0,8,0
"sparse_synthetic",0,9,0
"sparse_synthetic",0,10,0
"sparse_synthetic",0.25,1,0
"sparse_synthetic",0.25,2,0
"sparse_synthetic",0.25,3,0
"sparse_synthetic",0.25,4,0
"sparse_synthetic",0.25,5,0
"sparse_synthetic",0.25,6,0
"sparse_synthetic",0.25,7,0
"sparse_synthetic",0.25,8,0
"sparse_synthetic",0.25,9,0
"sparse_synthetic",0.25,10,0
"sparse_synthetic",0.5,1,0
"sparse_synthetic",0.5,2,0
"sparse_synthetic",0.5,3,0
"sparse_synthetic",0.5,4,0
"sparse_synthetic",0.5,5,0
"sparse_synthetic",0.5,6,0
"sparse_synthetic",0.5,7,0
"sparse_synthetic",0.5,8,0
"sparse_synthetic",0.5,9,0
"sparse_synthetic",0.5,10,0
"sparse_synthetic",1,1,0
"sparse_synthetic",1,2,0
"sparse_synthetic",1,3,0
"sparse_synthetic",1,4,0
"sparse_synthetic",1,5,0
"sparse_synthetic",1,6,0
"sparse_synthetic",1,7,0
"sparse_synthetic",1,8,0
"sparse_synthetic",1,9,0
"sparse_synthetic",1,10,0
"sparse_synthetic",2,1,0
"sparse_synthetic",2,2,0
"sparse_synthetic",2,3,0
"sparse_synthetic",2,4,0
"sparse_synthetic",2,5,0
"sparse_synthetic",2,6,0
"sparse_synthetic",2,7,0
"sparse_synthetic",2,8,0
"sparse_synthetic",2,9,0
