"scenario","strength","arm","seed","rec_mean","frac_recov","c_index","n_iter"
"default",0,"YFB_tuned",1,0.934203220927638,1,0.505717255717256,10
"default",0,"YFB_alpha0",1,0.93461284963092,1,0.5,14
"default",0,"LB_tuned",1,0.926963825277973,1,0.514033264033264,18
"default",0,"PCA_Cox",1,0.661336131516104,0.75,0.501559251559252,NA
"default",0,"EBMF",1,0.934062860578006,1,0.51039501039501,4
"default",0,"YFB_tuned",2,0.934834136119406,1,0.549571603427173,12
"default",0,"YFB_alpha0",2,0.934918515057182,1,0.5,14
"default",0,"LB_tuned",2,0.652520652043179,0.75,0.567319461444308,11
"default",0,"PCA_Cox",2,0.708646236222028,0.75,0.598531211750306,NA
"default",0,"EBMF",2,0.93611256969753,1,0.604039167686659,4
"default",0,"YFB_tuned",3,0.92886489802267,1,0.511574074074074,9
"default",0,"YFB_alpha0",3,0.928815490402282,1,0.5,10
"default",0,"LB_tuned",3,0.672007494672612,0.75,0.519675925925926,11
"default",0,"PCA_Cox",3,0.636600813627681,0.5,0.508101851851852,NA
"default",0,"EBMF",3,0.37014697660989,0.25,0.518518518518518,2
"default",0,"YFB_tuned",4,0.665150683705467,0.5,0.517415730337079,10
"default",0,"YFB_alpha0",4,0.934752706898894,1,0.5,23
"default",0,"LB_tuned",4,0.926797216191946,1,0.517415730337079,12
"default",0,"PCA_Cox",4,0.700712462169047,0.75,0.537640449438202,NA
"default",0,"EBMF",4,0.935432878977937,1,0.541573033707865,4
"default",0,"YFB_tuned",5,0.9386316142657,1,0.502067336089781,10
"default",0,"YFB_alpha0",5,0.938832076006371,1,0.5,13
"default",0,"LB_tuned",5,0.65173410537715,0.75,0.513290017720024,11
"default",0,"PCA_Cox",5,0.702815509834028,0.75,0.520968694624926,NA
"default",0,"EBMF",5,0.938692778351295,1,0.523331364441819,4
"default",0,"YFB_tuned",6,0.92495304694798,1,0.512345679012346,9
"default",0,"YFB_alpha0",6,0.924708834044589,1,0.5,11
"default",0,"LB_tuned",6,0.915951597051678,1,0.554433221099888,12
