"k_setting","scenario","estimated_factor","best_true_factor","best_cor","second_true_factor","second_cor","possible_merge"
"under_k2","all_shared",1,"shared",0.569,"shared",0.527,TRUE
"under_k2","all_shared",2,"shared",0.978,"shared",0.247,FALSE
"under_k2","hybrid",1,"specific_2",0.683,"shared",0.575,TRUE
"under_k2","hybrid",2,"specific_1",0.792,"specific_2",0.374,FALSE
"under_k2","nothing_shared",1,"specific_1",0.601,"specific_2",0.419,FALSE
"under_k2","nothing_shared",2,"specific_2",0.773,"specific_2",0.416,FALSE
"under_k3","all_shared",1,"shared",0.581,"shared",0.528,TRUE
"under_k3","all_shared",2,"shared",0.976,"shared",0.248,FALSE
"under_k3","all_shared",3,"shared",0.947,"shared",0.186,FALSE
"under_k3","hybrid",1,"specific_2",0.69,"shared",0.557,TRUE
"under_k3","hybrid",2,"specific_1",0.963,"shared",0.254,FALSE
"under_k3","hybrid",3,"specific_1",0.884,"specific_2",0.296,FALSE
"under_k3","nothing_shared",1,"specific_1",0.59,"specific_1",0.431,FALSE
"under_k3","nothing_shared",2,"specific_2",0.785,"specific_2",0.389,FALSE
"under_k3","nothing_shared",3,"specific_1",0.907,"specific_2",0.197,FALSE
"under_k4","all_shared",1,"shared",0.796,"shared",0.517,TRUE
"under_k4","all_shared",2,"shared",0.974,"shared",0.245,FALSE
"under_k4","all_shared",3,"shared",0.947,"shared",0.188,FALSE
"under_k4","all_shared",4,"shared",0.652,"shared",0.55,TRUE
"under_k4","hybrid",1,"shared",0.709,"specific_2",0.628,TRUE
"under_k4","hybrid",2,"specific_1",0.962,"shared",0.253,FALSE
"under_k4","hybrid",3,"specific_1",0.899,"specific_2",0.276,FALSE
"under_k4","hybrid",4,"shared",0.907,"shared",0.272,FALSE
"under_k4","nothing_shared",1,"specific_1",0.626,"specific_1",0.401,FALSE
"under_k4","nothing_shared",2,"specific_2",0.872,"specific_2",0.353,FALSE
"under_k4","nothing_shared",3,"specific_1",0.91,"specific_2",0.212,FALSE
"under_k4","nothing_shared",4,"specific_2",0.946,"specific_1",0.239,FALSE
"oracle_k6","all_shared",1,"shared",0.909,"shared",0.228,FALSE
"oracle_k6","all_shared",2,"shared",0.973,"shared",0.243,FALSE
"oracle_k6","all_shared",3,"shared",0.943,"shared",0.172,FALSE
"oracle_k6","all_shared",4,"shared",0.874,"shared",0.136,FALSE
"oracle_k6","all_shared",5,"shared",0.897,"shared",0.237,FALSE
"oracle_k6","all_shared",6,"shared",0.905,"shared",0.246,FALSE
"oracle_k6","hybrid",1,"specific_2",0.905,"specific_1",0.168,FALSE
"oracle_k6","hybrid",2,"specific_1",0.962,"shared",0.255,FALSE
"oracle_k6","hybrid",3,"shared",0.912,"specific_1",0.232,FALSE
"oracle_k6","hybrid",4,"specific_2",0.934,"specific_1",0.177,FALSE
"oracle_k6","hybrid",5,"shared",0.906,"shared",0.24,FALSE
"oracle_k6","hybrid",6,"specific_1",0.907,"shared",0.254,FALSE
"oracle_k6","nothing_shared",1,"specific_1",0.85,"specific_2",0.292,FALSE
"oracle_k6","nothing_shared",2,"specific_2",0.932,"specific_1",0.175,FALSE
"oracle_k6","nothing_shared",3,"specific_1",0.911,"specific_1",0.233,FALSE
"oracle_k6","nothing_shared",4,"specific_2",0.945,"specific_1",0.237,FALSE
"oracle_k6","nothing_shared",5,"specific_2",0.932,"specific_1",0.156,FALSE
"oracle_k6","nothing_shared",6,"specific_1",0.894,"specific_2",0.231,FALSE
"ard_k12","all_shared",1,"shared",0.875,"shared",0.136,FALSE
"ard_k12","all_shared",2,"shared",0.973,"shared",0.243,FALSE
"ard_k12","all_shared",3,"shared",0.943,"shared",0.172,FALSE
"ard_k12","all_shared",4,"shared",0.122,"shared",0.033,FALSE
"ard_k12","all_shared",5,"shared",0.897,"shared",0.237,FALSE
"ard_k12","all_shared",6,"shared",0.905,"shared",0.245,FALSE
"ard_k12","all_shared",7,"shared",0.908,"shared",0.224,FALSE
"ard_k12","all_shared",8,"shared",0.059,"shared",0.028,FALSE
"ard_k12","all_shared",9,"shared",0,"shared",0,FALSE
"ard_k12","all_shared",10,"shared",0,"shared",0,FALSE
"ard_k12","all_shared",11,"shared",0.049,"shared",0.023,FALSE
"ard_k12","all_shared",12,"shared",0,"shared",0,FALSE
"ard_k12","hybrid",1,"specific_2",0.904,"specific_1",0.18,FALSE
"ard_k12","hybrid",2,"specific_1",0.65,"shared",0.273,FALSE
"ard_k12","hybrid",3,"specific_1",0.962,"shared",0.255,FALSE
"ard_k12","hybrid",4,"shared",0.096,"specific_2",0.065,FALSE
