"Iteration","RMSE","ELBO_Proxy"
1,1.16273035943168,-391135.30670122
2,1.22430987713712,-372122.349887724
3,1.20358565942723,-368656.331411522
4,1.20289049303527,-367717.70346778
5,1.20419498900001,-367382.372202626
6,1.20556685875601,-367265.847120146
7,1.20670972162678,-367243.088941142
8,1.20752752929454,-367254.123409401
9,1.20806355735923,-367273.21552893
10,1.20840241608644,-367291.727619776
11,1.20861654870975,-367307.638163395
12,1.20875483342976,-367320.954810298
13,1.20884721232329,-367332.141143333
14,1.20891140957156,-367341.647441508
15,1.20895811447126,-367349.773656614
16,1.20899403987538,-367356.722255834
17,1.20902367264604,-367362.645160029
18,1.20905029578579,-367367.60942514
19,1.2090764612632,-367371.528591351
20,1.20910441419361,-367374.135987951
21,1.20913667827685,-367374.636365363
22,1.20917700924354,-367371.266507009
23,1.20923127507926,-367360.369002717
24,1.20930951740681,-367334.035440737
25,1.20942887016739,-367272.233474121
26,1.20961923933287,-367119.14556215
27,1.20993523656018,-366726.516076069
28,1.21043329886954,-365877.786579103
29,1.21103662159994,-364725.084985247
30,1.21141711262887,-363527.33350214
31,1.2115121543029,-362427.916506889
32,1.21153595132907,-361423.489261321
33,1.2115491887501,-360474.23404048
34,1.21155864973789,-359550.583651856
