"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.16273035943168,-391135.30670122,-425610.995621691
2,1.22430987713712,-372122.349887724,-415945.277423956
3,1.20358565942723,-368656.331411522,-414017.379707154
4,1.20289049303527,-367717.70346778,-413184.314987223
5,1.20419498900001,-367382.372202626,-412744.299420869
6,1.20556685875601,-367265.847120146,-412521.806435687
7,1.20670972162678,-367243.088941142,-412413.833838164
8,1.20752752929454,-367254.123409401,-412357.584060326
9,1.20806355735923,-367273.21552893,-412323.82212433
10,1.20840241608644,-367291.727619776,-412300.516733242
11,1.20861654870975,-367307.638163395,-412282.66237136
12,1.20875483342976,-367320.954810298,-412267.949364655
13,1.20884721232329,-367332.141143333,-412255.149667736
14,1.20891140957156,-367341.647441508,-412243.514714354
15,1.20895811447126,-367349.773656614,-412232.527700183
16,1.20899403987538,-367356.722255834,-412221.792990344
17,1.20902367264604,-367362.645160029,-412210.958627006
18,1.20905029578579,-367367.60942514,-412199.628359823
19,1.2090764612632,-367371.528591351,-412187.260999415
20,1.20910441419361,-367374.135987951,-412173.026050046
21,1.20913667827685,-367374.636365363,-412155.544704772
22,1.20917700924354,-367371.266507009,-412132.366557085
23,1.20923127507926,-367360.369002717,-412098.857095746
24,1.20930951740681,-367334.035440737,-412045.509680311
25,1.20942887016739,-367272.233474121,-411950.309259073
26,1.20961923933287,-367119.14556215,-411757.550041657
27,1.20993523656018,-366726.516076069,-411331.291139732
28,1.21043329886954,-365877.786579103,-410514.876361918
29,1.21103662159994,-364725.084985247,-409572.233536056
30,1.21141711262887,-363527.33350214,-408731.331243379
31,1.2115121543029,-362427.916506889,-408028.357177208
32,1.21153595132907,-361423.489261321,-407419.565899881
33,1.2115491887501,-360474.23404048,-406856.961118258
34,1.21155864973789,-359550.583651856,-406314.239486796
