"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.23552906891035,-408809.347492998,-435335.681402499
2,1.26017972661644,-397633.384063407,-429522.514791724
3,1.2528235620949,-395383.669521602,-427867.975366088
4,1.25444660473823,-394337.219851375,-426914.59864722
5,1.25597584627032,-393725.713720934,-426346.220097915
6,1.25652628623472,-393319.982407539,-425970.083564798
7,1.25660557814024,-393039.102616665,-425701.732919659
8,1.25659098055248,-392843.790745784,-425504.955820736
9,1.25659637293493,-392710.541684148,-425358.741235213
10,1.25664149114884,-392622.01257575,-425248.158920099
11,1.25671791629331,-392564.947920463,-425162.232726924
12,1.25681255274805,-392529.360235236,-425092.687839108
13,1.25691520011521,-392507.981680449,-425033.668681062
14,1.25701907146451,-392495.91388813,-424981.301573805
15,1.25712008739884,-392489.929283761,-424933.103539092
16,1.25721573022114,-392487.930924885,-424887.491669593
17,1.25730460562136,-392488.590246535,-424843.447797437
18,1.25738625540925,-392491.050820354,-424800.310340922
19,1.25746080708418,-392494.774595363,-424757.664136239
20,1.25752899845227,-392499.401344929,-424715.25840276
21,1.25759200075496,-392504.619382425,-424672.955700365
22,1.25765064030264,-392510.205855247,-424630.725738554
23,1.25770587575731,-392516.088198153,-424588.661735306
24,1.25775843123855,-392522.15612358,-424546.856288825
25,1.25780861581637,-392528.304068351,-424505.370390145
26,1.25785675473508,-392534.375893867,-424464.275292333
27,1.25790288909178,-392540.299304432,-424423.784409771
28,1.25794749340674,-392546.288858039,-424384.216493805
29,1.25799078553425,-392552.360358892,-424345.681489549
30,1.25803265962963,-392558.383397731,-424308.167562814
31,1.25807317489441,-392564.472400844,-424271.571209327
32,1.25811296946196,-392571.099276953,-424235.549733424
33,1.25815367269345,-392577.275226103,-424199.884399578
34,1.25819396693484,-392582.87373509,-424164.605173419
35,1.25823355884288,-392587.953453084,-424129.945316558
36,1.25827212159457,-392592.617926993,-424096.132981896
37,1.25830914928173,-392596.845032581,-424063.10999083
38,1.25834428504063,-392600.65766457,-424030.892690757
39,1.2583778118266,-392604.185822596,-423999.530313651
40,1.25840984684058,-392607.533318456,-423969.06107093
41,1.25844049147088,-392610.777728536,-423939.513546568
42,1.25846981400555,-392613.993722308,-423910.906362383
43,1.25849792644952,-392617.224530916,-423883.249610034
44,1.25852493415057,-392620.488884621,-423856.553086335
45,1.25855092359191,-392623.806214352,-423830.836645684
46,1.2585759839284,-392627.2184881,-423806.117527237
47,1.2586002931958,-392630.766750847,-423782.379959489
48,1.25862407813901,-392634.479578622,-423759.578747572
49,1.25864748985713,-392638.370108439,-423737.664626198
50,1.25867054602124,-392642.437892961,-423716.592340528
51,1.25869322093587,-392646.670404083,-423696.315926528
52,1.25871550472098,-392651.049032924,-423676.788164591
53,1.25873741659794,-392655.550733668,-423657.96265209
54,1.25875898495268,-392660.166963284,-423639.795063683
55,1.25878029382068,-392664.834632901,-423622.243084977
56,1.2588012429556,-392669.526738772,-423605.267619823
57,1.25882183808725,-392674.203372314,-423588.833323333
58,1.25884202671954,-392678.817765512,-423572.909414583
59,1.25886171126382,-392683.326374653,-423557.47058986
60,1.25888078525821,-392687.686367898,-423542.497234383
61,1.25889911568725,-392692.061358651,-423527.969164255
62,1.25891720459753,-392696.423785005,-423513.867290333
63,1.25893498145428,-392700.5902253,-423500.186233736
64,1.25895184200182,-392704.563861861,-423486.923581771
65,1.25896772266378,-392708.364897675,-423474.07687725
66,1.25898262319074,-392712.038263601,-423461.641589541
67,1.2589966530036,-392715.628797137,-423449.610306789
68,1.25900994715613,-392719.184641645,-423437.974227269
69,1.2590226829455,-392722.735506697,-423426.723369211
70,1.25903500024294,-392726.314962889,-423415.851664394
71,1.25904706208263,-392729.951788737,-423405.356071791
72,1.25905897779512,-392733.679451622,-423395.227559577
73,1.25907085514318,-392737.541146251,-423385.443889778
74,1.25908286030628,-392741.535797655,-423375.974991899
75,1.25909505667511,-392745.688666635,-423366.792054439
76,1.25910758657541,-392750.008826976,-423357.871313283
77,1.25912052212787,-392754.498151071,-423349.191620624
78,1.25913390577797,-392759.156822768,-423340.732597269
79,1.25914777354364,-392763.98407088,-423332.472270526
80,1.25916215981269,-392768.975463714,-423324.387077855
81,1.25917708093131,-392774.134135867,-423316.454993382
82,1.25919257510823,-392779.46019268,-423308.65274493
83,1.25920866633921,-392784.95387702,-423300.95793363
84,1.25922538265619,-392790.612930809,-423293.349452228
85,1.25924275153513,-392796.436221784,-423285.808348834
86,1.25926081239761,-392802.404873419,-423278.318822269
87,1.25927954758344,-392808.513072664,-423270.868441174
88,1.25929897475227,-392814.754334527,-423263.447500899
89,1.25931909250901,-392821.127764587,-423256.0471329
90,1.25933990230472,-392827.63781005,-423248.65735712
91,1.25936142070776,-392834.290168448,-423241.266428907
92,1.25938368376787,-392841.085794935,-423233.8626041
