"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.16273035943168,-389435.541231949,-424370.443123491
2,1.20546265599262,-370958.069877085,-415221.503681676
3,1.19041565691729,-367831.297630454,-413514.655735987
4,1.19234741087598,-366932.889166308,-412676.574789696
5,1.19580554267196,-366583.835518636,-412172.898783327
6,1.1988476398394,-366440.850509351,-411854.340083587
7,1.20106741954028,-366394.535888516,-411650.453695124
8,1.2026126413506,-366394.133009705,-411513.010105332
9,1.20369521469212,-366407.60945564,-411405.291147859
10,1.20446492681983,-366412.093223532,-411298.939104721
11,1.2050418786603,-366382.694419877,-411164.092203255
12,1.20553260797398,-366268.596106265,-410947.779725213
13,1.20604083188979,-365939.056412508,-410530.030506197
14,1.20666049500672,-365168.178898235,-409738.935313036
15,1.20736755507968,-364032.338859217,-408757.559378539
16,1.20787044509213,-362814.851901648,-407869.502182293
17,1.20803311830995,-361696.682432187,-407143.521856661
18,1.20807486954937,-360700.985947621,-406548.343639062
19,1.2080889779055,-359799.700904433,-406040.888036454
20,1.20809389677937,-358970.575356267,-405598.906466707
21,1.20809335862498,-358203.053595266,-405212.44180912
