"Iteration","RMSE","ELBO_Proxy"
1,1.08993073106542,-200860.995817368
2,1.12929532322091,-186513.374318809
3,1.11852394665813,-184525.022489984
4,1.11957512729515,-184001.537690154
5,1.12159242053496,-183759.504889836
6,1.12322318420682,-183615.682889049
7,1.1243771262772,-183519.504238274
8,1.12515644461573,-183454.636867631
9,1.12567007661621,-183413.027650094
10,1.12600216382895,-183385.481615081
11,1.12622375724159,-183367.196181032
12,1.12636642548778,-183355.461775297
13,1.12645556133887,-183347.827895289
14,1.12650674982131,-183342.752629457
15,1.12653122810068,-183339.086581107
16,1.12653613811426,-183336.270135031
17,1.12652717893698,-183334.235320506
18,1.12650905507448,-183332.829224119
19,1.12648436989523,-183331.808599434
20,1.12645416963016,-183330.937509053
21,1.12641889154567,-183330.090204316
22,1.1263786715246,-183329.264796564
23,1.12633381498407,-183328.515477278
24,1.12628474506258,-183327.851757941
25,1.12623176136605,-183327.247622859
26,1.12617493074411,-183326.683613789
27,1.12611422426965,-183326.154749507
28,1.12604962762326,-183325.656817643
29,1.12598116263056,-183325.196808027
30,1.12590887482543,-183324.760046166
31,1.12583285812052,-183324.339280798
32,1.12575327056617,-183323.927307186
33,1.12567031747692,-183323.500184923
34,1.1255842198975,-183323.046120316
35,1.12549531188281,-183322.523562259
36,1.12540315599364,-183321.88673491
37,1.1253077358278,-183321.167218068
38,1.12521134091701,-183320.406384527
39,1.125115700079,-183319.626494355
40,1.12502197982633,-183318.851472421
41,1.12493104243423,-183318.108024532
42,1.12484427119173,-183317.372364897
43,1.12476205500914,-183316.663317074
44,1.12468369310504,-183316.024218383
45,1.12460886282476,-183315.468570239
46,1.12453800012168,-183315.046366041
47,1.12447091771912,-183314.740621426
48,1.12440684331055,-183314.489192272
49,1.12434525736753,-183314.266938868
50,1.12428601427366,-183314.075566358
51,1.12422931097286,-183313.943588565
52,1.12417551347582,-183313.913045995
53,1.12412489856213,-183314.01965375
54,1.12407746785001,-183314.281025707
55,1.1240329300312,-183314.69696136
56,1.12399080518049,-183315.255794326
57,1.12395055300176,-183315.940852344
58,1.12391166050562,-183316.734669392
59,1.12387368726652,-183317.601162426
60,1.12383557827099,-183318.479324837
61,1.12379600560479,-183319.400084199
62,1.12375635642914,-183320.387864708
63,1.12371761440352,-183321.449340469
64,1.12368013679002,-183322.577248562
65,1.12364377051739,-183323.755165176
66,1.12360802094912,-183324.959939339
67,1.12357222020316,-183326.163293821
68,1.12353565108362,-183327.33364283
69,1.12349751226232,-183328.43456206
70,1.12345678721209,-183329.414237846
71,1.12341299555054,-183330.24650135
72,1.12336574948794,-183330.907375675
73,1.12331481780614,-183331.418396
74,1.1232629351197,-183331.845878351
75,1.12321137713034,-183332.208504816
76,1.12315991445612,-183332.515752886
77,1.12310859658209,-183332.784737896
78,1.12305766286176,-183333.035667803
79,1.12300743635456,-183333.285816302
80,1.12295825567494,-183333.544935628
81,1.12291042458838,-183333.813996519
82,1.12286417947454,-183334.086574538
83,1.12281967896754,-183334.351493785
84,1.12277700874344,-183334.596679693
85,1.12273619833788,-183334.812364241
86,1.12269724482434,-183334.992450843
87,1.12266013610404,-183335.132908374
88,1.12262486310115,-183335.281482823
89,1.12259156534976,-183335.484513536
90,1.12256038245853,-183335.725975182
91,1.12253132479373,-183336.004612167
92,1.1225043708038,-183336.321279872
93,1.12247946458315,-183336.675797175
94,1.12245651771308,-183337.066388358
95,1.12243541562138,-183337.489969888
96,1.1224160278923,-183337.942598751
97,1.12239821798704,-183338.419497171
98,1.12238191953515,-183338.915415086
99,1.12236697126107,-183339.425947858
100,1.12235321733381,-183339.947153194
101,1.12234054956555,-183340.475443911
102,1.1223288805513,-183341.00759719
103,1.12231813609815,-183341.540767754
104,1.1223082510808,-183342.0724814
105,1.12229916685445,-183342.600629011
106,1.12229082866827,-183343.12341945
107,1.1222831852182,-183343.63938013
108,1.12227618680262,-183344.147306624
109,1.12226978564682,-183344.646234877
110,1.12226393576718,-183345.135414201
111,1.12225859307202,-183345.614280386
112,1.12225371554039,-183346.082428114
113,1.12224926342048,-183346.53959411
114,1.12224519936048,-183346.98563441
115,1.12224148850788,-183347.420504984
116,1.12223809855122,-183347.844253697
117,1.1222349996917,-183348.256997813
118,1.12223216459854,-183348.658916647
119,1.12222956830365,-183349.051491443
120,1.12222716885508,-183349.432611304
