"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.983220019538789,-178243.907695819,-211833.271841034
2,1.0692901155104,-145442.385494224,-194512.218828519
3,1.04105567595154,-138314.231351542,-191894.564381611
4,1.03702189117115,-136324.727175136,-191003.087414178
5,1.03657064328318,-135355.805972731,-190376.107218197
6,1.03685902115384,-134646.471626746,-189838.443717651
7,1.03733427479156,-134062.782032582,-189374.764494305
8,1.03786143426052,-133590.098304928,-188992.642372157
9,1.03841651671963,-133226.658397865,-188696.502140502
10,1.03895744698305,-132962.2621031,-188479.26571275
11,1.03946519145083,-132780.662191183,-188326.669834124
12,1.03992711213064,-132659.725841756,-188221.49936654
13,1.04032369484876,-132582.042599298,-188149.919901682
14,1.04064398376444,-132532.19658927,-188099.99731531
15,1.04088954114451,-132499.28761986,-188063.1530125
16,1.04106711067953,-132476.731830761,-188034.344905863
17,1.04118671511347,-132460.946177238,-188010.473954518
18,1.04125980255573,-132449.98240806,-187989.387396893
19,1.04129671135714,-132442.241768751,-187969.540555121
20,1.04130802640054,-132437.348903156,-187951.345964284
21,1.04130118466938,-132433.132569773,-187933.932539684
22,1.04127691550337,-132429.733415654,-187916.577690796
23,1.0412384882231,-132427.525642025,-187899.345179946
24,1.04118976081305,-132426.151985404,-187882.228402659
25,1.04113309702432,-132425.350092897,-187865.167235902
26,1.04107040354652,-132425.003852185,-187848.233380192
27,1.04100285429092,-132425.176109516,-187831.577937316
28,1.04093202515374,-132425.979444393,-187815.363469352
29,1.04085869291147,-132427.363397798,-187799.628795481
30,1.0407842593399,-132429.216743613,-187784.295663412
31,1.04070946630538,-132431.550502807,-187769.27050053
32,1.04063475463638,-132434.487767718,-187754.520162326
33,1.0405603536681,-132438.039426182,-187740.02320052
34,1.04048597326794,-132442.067356411,-187725.747093554
35,1.0404106201043,-132446.365630725,-187711.737535949
36,1.0403328382361,-132450.789829362,-187698.057587097
37,1.04025153691902,-132455.253490031,-187684.725049584
38,1.04016778882549,-132459.68082523,-187671.756875982
39,1.04008289151419,-132463.999136582,-187659.183124211
40,1.03999781018616,-132468.169941431,-187647.013404433
41,1.03991345572977,-132472.205386945,-187635.232452658
42,1.03983047944491,-132476.131694881,-187623.811807795
43,1.03974909783444,-132479.966564598,-187612.721402649
44,1.03966924365568,-132483.709695715,-187601.935427738
45,1.03959071009774,-132487.346898976,-187591.432409609
46,1.0395132845221,-132490.858138508,-187581.191885542
47,1.03943683433764,-132494.225037429,-187571.190947754
48,1.039361350795,-132497.445984337,-187561.402692297
49,1.03928691539059,-132500.52792707,-187551.796739727
50,1.03921364741411,-132503.499912376,-187542.341441864
51,1.0391417036609,-132506.402963899,-187533.009612096
52,1.03907122956105,-132509.289961594,-187523.78697899
53,1.03900227514792,-132512.187305967,-187514.656607664
54,1.03893481905835,-132515.081684254,-187505.602616675
55,1.03886858499566,-132517.959626502,-187496.610316381
56,1.03880315204364,-132520.833162654,-187487.666758445
57,1.03873795207886,-132523.737459381,-187478.76358209
58,1.03867228405752,-132526.695784209,-187469.890718663
59,1.03860536966974,-132529.689204655,-187461.02604992
60,1.03853640791676,-132532.678897028,-187452.134353245
61,1.03846470329375,-132535.610908965,-187443.174361743
62,1.0383897240107,-132538.473659669,-187434.102720313
63,1.03831143409079,-132541.25542655,-187424.867982423
64,1.03822998125153,-132544.057224238,-187415.446056567
65,1.03814573183308,-132546.978588987,-187405.838777418
66,1.03805915485419,-132550.030387375,-187396.026505717
67,1.03797045059317,-132553.265681388,-187385.988621806
68,1.03787973327643,-132556.716819409,-187375.701058125
69,1.03778693472452,-132560.362448709,-187365.120703014
70,1.03769217264122,-132564.211101841,-187354.198303345
71,1.03759512206707,-132568.244959957,-187342.92397312
72,1.03749561636533,-132572.448186746,-187331.297069561
73,1.03739403588874,-132576.808033896,-187319.306560154
74,1.03729113163828,-132581.267460578,-187306.927969174
75,1.03718752841486,-132585.716605149,-187294.166051306
76,1.03708296006204,-132590.117974736,-187281.053256443
77,1.03697785476505,-132594.422230832,-187267.640835973
78,1.03687205703871,-132598.674591075,-187254.02982196
79,1.03676582414195,-132602.937887701,-187240.288092787
80,1.03666009625303,-132607.252176895,-187226.448065744
81,1.03655564470762,-132611.651087116,-187212.519509158
82,1.03645312132796,-132616.153365736,-187198.495026366
83,1.03635290732005,-132620.785817663,-187184.356517762
84,1.03625515726457,-132625.603070499,-187170.065183373
85,1.03615968540517,-132630.646220398,-187155.539438732
86,1.03606633605738,-132635.926959519,-187140.7048238
87,1.03597540163493,-132641.49666146,-187125.468971829
88,1.0358873125494,-132647.347856672,-187109.729920241
89,1.03580272302653,-132653.271048267,-187093.509614852
90,1.03572128143249,-132658.855874963,-187077.119522609
91,1.03563943718749,-132664.116539355,-187061.126592053
92,1.03555392890864,-132669.468122479,-187045.76578519
93,1.0354671285704,-132674.999821258,-187030.950845996
94,1.03538134616078,-132680.725111882,-187016.544266546
95,1.03529851900456,-132686.72441708,-187002.431096253
96,1.03522055993236,-132693.049327292,-186988.488688395
97,1.03514897159115,-132699.666338943,-186974.562508229
98,1.03508475868543,-132706.491492413,-186960.504121496
99,1.03502789450001,-132713.526555829,-186946.279122933
100,1.03497683715365,-132720.839223933,-186931.982925704
101,1.03492934428,-132728.421518635,-186917.704145483
102,1.03488396490683,-132736.216430206,-186903.456973096
103,1.03484011715955,-132744.215748122,-186889.212524903
104,1.03479759187525,-132752.465360544,-186874.920850926
105,1.03475630554607,-132761.084732916,-186860.526843229
106,1.03471645303351,-132770.166310138,-186845.9740001
107,1.03467856021676,-132779.713880839,-186831.180926944
108,1.03464296577298,-132789.769359687,-186816.067504728
109,1.03461002749845,-132800.431931051,-186800.518717385
110,1.03458027849831,-132811.80021717,-186784.349431492
111,1.03455431283401,-132823.89358429,-186767.314405906
112,1.03453230715008,-132836.600682862,-186749.139838194
113,1.03451358902152,-132849.945290117,-186729.680840671
114,1.03449729405872,-132864.303642445,-186709.101153637
115,1.03448307463312,-132879.678113817,-186687.497459905
116,1.03447022249223,-132896.378664411,-186664.663874528
117,1.03445836206597,-132914.583273978,-186639.984475008
118,1.03444838036007,-132934.093465737,-186613.008177948
119,1.03444291559209,-132955.384795892,-186583.692612404
120,1.03444414997063,-132978.975374317,-186552.087476315
121,1.03445327011896,-133004.838400129,-186517.870557353
122,1.03446955183881,-133033.013889256,-186480.331896016
123,1.03449219809492,-133064.481639524,-186438.912685772
124,1.0345238362044,-133100.254399969,-186393.101233477
125,1.03456882433112,-133140.900870957,-186343.355715257
126,1.03462865119598,-133184.660039828,-186290.826042825
127,1.0346999512541,-133230.584929466,-186237.658914774
128,1.03477914935914,-133277.922847174,-186186.038747881
129,1.03486413753966,-133322.733705033,-186139.186152544
130,1.0349474235042,-133362.223743643,-186098.571781962
131,1.03502137247389,-133395.278195961,-186064.096192421
132,1.03508055897036,-133422.689218113,-186035.599805886
133,1.03512387645238,-133446.263101379,-186012.483567178
134,1.03515360766807,-133467.499720405,-185993.58251963
135,1.035172946225,-133487.103613612,-185977.764620593
136,1.0351852062071,-133505.440842724,-185964.228867218
137,1.03519293216881,-133522.70778209,-185952.495971549
138,1.03519753680088,-133538.952390796,-185942.278568527
139,1.03519987192409,-133554.042022647,-185933.368390662
140,1.0352001757397,-133567.787788475,-185925.578447514
141,1.0351983151104,-133580.105476954,-185918.720745586
142,1.03519413606814,-133591.03954436,-185912.613216863
143,1.03518774628578,-133600.763174616,-185907.086085334
144,1.03517929519686,-133609.455652195,-185901.989582948
145,1.03516909465519,-133617.275746791,-185897.212983825
146,1.03515729710043,-133624.367488361,-185892.670885577
147,1.03514404099788,-133630.853903192,-185888.300401833
148,1.035129430596,-133636.833173617,-185884.056461332
149,1.03511356857707,-133642.390288501,-185879.903558994
150,1.03509664042308,-133647.601874254,-185875.81820825
151,1.03507884513226,-133652.537209227,-185871.785489526
152,1.03506036131153,-133657.2534855,-185867.796843797
153,1.03504137622892,-133661.799506624,-185863.848346655
154,1.03502207255305,-133666.214942124,-185859.939303758
