"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.08993073106542,-199837.109071823,-223930.533053362
2,1.11636900865374,-185880.299619671,-216757.273635152
3,1.10894644396387,-184062.705665949,-215785.767308186
4,1.11079063731367,-183532.807453887,-215292.875744521
5,1.11275709907835,-183248.194722235,-214969.635320074
6,1.11422033313786,-183069.066638375,-214750.870762362
7,1.1152310756453,-182953.580612011,-214601.68005423
8,1.11590639739923,-182879.803956031,-214499.84599841
9,1.11634800914569,-182832.88862621,-214429.3575374
10,1.11663176269723,-182802.75063784,-214378.913469209
11,1.11681040686105,-182784.588663212,-214341.144477988
12,1.11691932290506,-182773.090251173,-214311.282360838
13,1.11697921756342,-182765.574647899,-214286.410135822
14,1.1170068467349,-182760.581434356,-214264.711276653
15,1.11701361528431,-182757.258797784,-214245.090732859
16,1.11700701623291,-182755.097257185,-214226.87378044
17,1.11699184429839,-182753.802304411,-214209.630276355
18,1.11697115098262,-182753.160865999,-214193.100114118
19,1.11694675915032,-182753.02529481,-214177.146237271
20,1.11692023190412,-182753.331345125,-214161.697668616
21,1.11689269041721,-182754.031327834,-214146.691140109
22,1.11686503808853,-182755.125715022,-214132.071079623
23,1.11683847468985,-182756.591399708,-214117.769087445
24,1.11681415539201,-182758.407455135,-214103.783771989
25,1.11679255307867,-182760.520749988,-214090.127460084
26,1.11677353660327,-182762.847754265,-214076.812949033
27,1.11675647576182,-182765.284873131,-214063.86257214
28,1.11674051194302,-182767.757599249,-214051.308453398
29,1.11672498123266,-182770.242092479,-214039.180359216
30,1.11670963713909,-182772.69880517,-214027.497812282
31,1.11669443651043,-182775.145185504,-214016.267729175
32,1.11667962242923,-182777.544568469,-214005.48969196
33,1.11666531530891,-182779.888809903,-213995.15730385
34,1.11665189453319,-182782.173379083,-213985.26049982
35,1.1166398077021,-182784.400231806,-213975.785990635
36,1.1166295130945,-182786.573882215,-213966.713463779
37,1.1166213438502,-182788.696193717,-213958.037362665
38,1.11661539149465,-182790.76074076,-213949.750731861
39,1.11661150662619,-182792.755580236,-213941.849255043
40,1.1166094671132,-182794.666675627,-213934.324676376
41,1.11660902242053,-182796.48279482,-213927.160705111
42,1.11661001452976,-182798.191374548,-213920.332189813
43,1.11661233797087,-182799.774686232,-213913.808365324
44,1.11661587578755,-182801.210850568,-213907.559914233
45,1.11662040507683,-182802.486131193,-213901.568042476
46,1.11662556724258,-182803.606539045,-213895.826103297
47,1.11663098842498,-182804.59200579,-213890.332699061
48,1.11663643131618,-182805.464264229,-213885.083499843
49,1.11664183495387,-182806.245067319,-213880.069499968
50,1.11664726075718,-182806.960587874,-213875.277585393
51,1.11665284922942,-182807.641437849,-213870.689232758
52,1.11665880347527,-182808.315522503,-213866.277677182
53,1.11666536579802,-182808.998232243,-213862.006058574
54,1.11667277314671,-182809.685631161,-213857.829037631
55,1.11668118624648,-182810.354279729,-213853.700138766
56,1.11669060057459,-182810.969223141,-213849.584164749
57,1.11670076432355,-182811.499768007,-213845.471968981
58,1.11671116873997,-182811.93825037,-213841.38629705
59,1.1167212023626,-182812.301433546,-213837.3676906
60,1.11673042745032,-182812.608624799,-213833.44795855
61,1.11673873701159,-182812.865897227,-213829.632649039
62,1.11674629710749,-182813.062667406,-213825.8992382
63,1.11675340804738,-182813.174487668,-213822.199772751
64,1.11676042964284,-182813.153589671,-213818.462048327
65,1.11676765060602,-182812.955926564,-213814.600654546
