"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.983220019538789,-177114.062028644,-211097.551254928
2,1.05387653517179,-144265.095196936,-193750.166033711
3,1.02832103961158,-137236.965372097,-191066.005545241
4,1.02617893660444,-135346.526427858,-190120.869828301
5,1.02677293676565,-134465.754907379,-189469.147722598
6,1.02759786195118,-133838.925304522,-188934.220387437
7,1.02826850667895,-133320.494092743,-188479.583376884
8,1.02876745499556,-132883.889055659,-188095.178912084
9,1.02914606970443,-132523.574678145,-187777.931599086
10,1.02944192541018,-132236.830842906,-187525.378455635
11,1.02967933836361,-132019.25287398,-187331.420793868
12,1.02987151172823,-131859.466325913,-187183.971630531
13,1.03002642443781,-131744.808580723,-187071.345415246
14,1.03014565813407,-131663.326805839,-186983.103714968
15,1.03023213806577,-131605.281874588,-186911.549842115
16,1.03028880921207,-131563.966389131,-186851.361113393
17,1.03031821326379,-131534.104339623,-186798.63350732
18,1.03032526546973,-131512.045326452,-186750.954325662
19,1.03031445655795,-131495.582816869,-186706.917578824
20,1.0302900581486,-131483.274487343,-186665.649141754
21,1.03025566691431,-131474.149533545,-186626.608932915
22,1.03021431818759,-131467.522571227,-186589.450316546
23,1.03016842309968,-131462.87776459,-186553.939714318
24,1.03011988012403,-131459.877674415,-186519.910273038
25,1.03007026909479,-131458.440781095,-186487.326592227
26,1.03002042619386,-131457.975848728,-186455.943578693
27,1.02997140420251,-131458.476013011,-186425.73934888
28,1.02992374157407,-131459.533275324,-186396.468424005
29,1.02987843866703,-131461.631743556,-186368.329479814
30,1.02983557933823,-131464.467542234,-186341.150157381
31,1.02979495834868,-131467.933202455,-186314.852779369
32,1.02975649969332,-131471.920932216,-186289.351883929
33,1.02972001665578,-131476.350240257,-186264.563195014
34,1.02968541703815,-131481.148783723,-186240.412754973
35,1.02965262363659,-131486.251782974,-186216.830639354
36,1.02962173719794,-131491.619137023,-186193.758107298
37,1.02959269612849,-131497.253122039,-186171.184591695
38,1.0295653318704,-131503.161674411,-186149.103658663
39,1.02953954955291,-131509.376672896,-186127.486575397
40,1.0295153404849,-131516.19886033,-186106.258367567
41,1.02949281216238,-131523.467608296,-186085.328359662
42,1.02947183948601,-131530.796108819,-186064.67474203
43,1.02945238341002,-131538.113604643,-186044.319847445
44,1.02943463751809,-131545.340343083,-186024.274367875
45,1.02941856997736,-131552.358411035,-186004.584498191
46,1.02940399101213,-131559.132449549,-185985.35053848
47,1.0293905592129,-131565.71389626,-185966.667687905
