"Iteration","RMSE","ELBO_Proxy"
1,0.707690546648309,-36418.6517308056
2,0.731821136041641,-20709.8481533757
3,0.724452924246034,-19583.9627527604
4,0.724351877573539,-19455.3882928441
5,0.724559449390621,-19431.0781400372
6,0.724700505567657,-19425.4236664545
7,0.724782078000312,-19424.2348707166
8,0.724829619660441,-19424.2220719465
9,0.724858469459237,-19424.4797620415
10,0.72487690825403,-19424.7671324527
11,0.724889314108679,-19425.0324797059
12,0.724898065882692,-19425.266462636
13,0.724904507241745,-19425.46971058
14,0.724909440152691,-19425.6453776476
