"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.605325071980961,18839.7740809017,-31054.4057818803
2,0.652514948503473,61377.9041946792,-9760.68935882042
3,0.629781195458302,67562.052682931,-7635.26072774678
4,0.628122795305332,68951.7760942738,-6823.8167566376
5,0.62857547256729,69474.5015733163,-6404.04538037559
6,0.629172506346537,69711.6011280205,-6185.45679385241
7,0.629661160367334,69821.8955374722,-6068.22188701247
8,0.630033885512626,69872.4969046694,-6001.52414986982
9,0.630317925297813,69894.5372372628,-5960.49746731651
10,0.630538470598905,69902.6419859933,-5933.03890344494
11,0.630713515376351,69903.6295663327,-5913.15312225524
12,0.630855574442093,69900.9704792639,-5897.68698510704
13,0.630973056587043,69896.3954507454,-5884.86200707199
14,0.631071894307208,69890.8160443475,-5873.63780433067
15,0.631156453332282,69884.7091159727,-5863.38022857986
16,0.631229900129626,69878.3192266914,-5853.68886944527
17,0.631294526666357,69871.7638930077,-5844.29914681362
18,0.631352031076266,69865.1069212118,-5835.02924681789
19,0.631403665776416,69858.3883973058,-5825.74504149539
20,0.631450382134222,69851.6378926042,-5816.34428428682
21,0.631492929370375,69844.8778513305,-5806.74813369879
22,0.631531962556059,69838.1291816023,-5796.89814992447
23,0.63156798599569,69831.4129734954,-5786.75780432248
24,0.631601461857717,69824.7527429696,-5776.31534972683
25,0.631632764774038,69818.1745510055,-5765.58531396082
26,0.631662195278332,69811.7081012209,-5754.60716588859
27,0.631690040493637,69805.3860583216,-5743.44155514186
28,0.631716438885168,69799.2349094899,-5732.16417330743
29,0.631741520647875,69793.2627247917,-5720.85636934123
30,0.631765369186768,69787.4529958786,-5709.59333436838
31,0.631788059920689,69781.7671626632,-5698.43298550888
32,0.631809647435536,69776.1538158284,-5687.40891483768
33,0.631830176481449,69770.5603149025,-5676.52909282017
34,0.631849672147078,69764.9419740011,-5665.7793610086
35,0.631868161549834,69759.2671684372,-5655.12952663778
36,0.631885655424481,69753.519441304,-5644.53999765365
37,0.631902171450269,69747.6605184233,-5633.9682670959
38,0.631918004394979,69741.5748701587,-5623.33765443454
39,0.631933859320765,69735.384431245,-5612.5442064406
40,0.631949718748729,69729.0778059105,-5601.64944136999
41,0.63196514394768,69722.6255991311,-5590.6959421022
42,0.631980084426638,69716.0311931117,-5579.61133743788
43,0.631994678213166,69709.3027626165,-5568.33642230789
44,0.63200898327367,69702.4495444675,-5556.85768765248
45,0.63202328165241,69695.3978185243,-5545.22217984742
46,0.632038022493391,69688.0362945169,-5533.4870387875
47,0.632053476437931,69680.370601409,-5521.65310512466
48,0.632069511813156,69672.5088512178,-5509.6817428449
49,0.632085894689766,69664.5522139104,-5497.53315262565
50,0.632102674200421,69656.5905139961,-5485.22089810644
51,0.6321193601674,69648.6535957442,-5472.79549072958
52,0.632135356239892,69640.6920962195,-5460.33867003901
53,0.632150425030859,69632.6032285898,-5447.96311489303
54,0.632164755491367,69624.3106208278,-5435.79299637279
55,0.632178598019675,69615.8028700022,-5423.93784785805
56,0.632192065187936,69607.1095179672,-5412.44554317182
57,0.63220515617866,69598.2548716675,-5401.22796401402
58,0.632218485321156,69589.4228737085,-5390.3268090409
59,0.632230976981502,69580.6375698769,-5379.81836294699
60,0.632242975521348,69571.9162928613,-5369.7550700367
61,0.632254555423461,69563.2949910654,-5360.1519754562
62,0.632265453373677,69554.8735157787,-5350.97084629216
63,0.632275577336355,69546.7593367509,-5342.17702575755
64,0.632284925645338,69539.0675456603,-5333.75729356083
65,0.63229352093893,69531.8738355647,-5325.71532922547
66,0.632301398176298,69525.1142209368,-5318.14064336712
67,0.632308432933381,69518.6973078071,-5311.13374017793
68,0.632315110306314,69512.6416133616,-5304.68242933972
69,0.632321354202459,69506.9569395433,-5298.74922266032
70,0.632326919692333,69501.6385928953,-5293.28642366643
71,0.632331808054959,69496.6818958704,-5288.24452276903
72,0.632336063261784,69492.0776890734,-5283.57688894165
73,0.632339735676348,69487.8147742311,-5279.24222005546
74,0.63234285486171,69483.8794584652,-5275.20496349837
75,0.632345438618389,69480.2544252253,-5271.4350096701
76,0.632347513823657,69476.9176209475,-5267.90650969092
77,0.632349116994783,69473.8438200419,-5264.59722227011
78,0.63235031696454,69471.0034858554,-5261.48757781581
79,0.632351189854591,69468.3700874095,-5258.56001128044
80,0.632351797434993,69465.9141425425,-5255.79793486351
81,0.632352228530523,69463.6117798639,-5253.18528341566
82,0.632352534249989,69461.4442643871,-5250.70639955217
83,0.632352752171882,69459.3979357245,-5248.34626093345
84,0.632352912529312,69457.4647315007,-5246.09077956214
85,0.632353013031049,69455.6387767385,-5243.92724443739
86,0.632353058463238,69453.9169004543,-5241.84457036381
87,0.63235304380442,69452.296099942,-5239.83355888846
88,0.632352957176254,69450.776882339,-5237.88861094304
89,0.632352872449596,69449.3499413516,-5236.01342260712
90,0.632352888773395,69447.9954530908,-5234.2088776078
91,0.632352915281874,69446.704618956,-5232.47245914316
92,0.632352892811115,69445.4684125903,-5230.80198705578
93,0.632352801240222,69444.2786936514,-5229.19515939663
94,0.632352636887507,69443.1257917913,-5227.64944602568
95,0.632352413408348,69442.0034524279,-5226.16207204181
96,0.632352139432459,69440.9065808243,-5224.73009821509
97,0.632351824675705,69439.8310638845,-5223.35045790097
98,0.632351476587837,69438.7737275981,-5222.01999986616
99,0.632351104150813,69437.7325486817,-5220.73560165423
100,0.632350711468885,69436.7061150633,-5219.49412460118
101,0.632350301988978,69435.6948647947,-5218.29183743403
102,0.632349888688572,69434.7054647468,-5217.12160288944
103,0.632349486861745,69433.741368053,-5215.97870454312
104,0.632349013072579,69432.8041081129,-5214.85988381464
105,0.632348455654492,69431.8987482994,-5213.76153986423
106,0.632347785600902,69431.0281535807,-5212.68037786723
107,0.632346996299894,69430.1936148042,-5211.61400568461
108,0.632346111382187,69429.3901584759,-5210.56216527144
109,0.632345183982135,69428.602786059,-5209.52742277031
110,0.632344335831384,69427.8094683576,-5208.51406036411
111,0.632343692528223,69426.991414923,-5207.52538355861
112,0.632343351390977,69426.1408359581,-5206.56196519473
