"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.707690546648309,-35870.3451436533,-69492.074284119
2,0.722046167768986,-20476.3133184855,-62406.0128089695
3,0.719550954632417,-19424.1367010319,-62023.0656160314
4,0.720284959105379,-19307.6284682012,-61929.9454107632
5,0.720658363638483,-19284.2134692369,-61895.4995262385
6,0.720833133607958,-19277.7078822736,-61878.5049220168
7,0.720919298264292,-19275.5285705695,-61867.8118094235
8,0.720964539547382,-19274.6653907937,-61859.834988742
9,0.720989271081576,-19274.219776954,-61853.2280869128
10,0.721003205816726,-19273.9101498929,-61847.4052913764
11,0.721011099783181,-19273.6360990552,-61842.0748802279
12,0.721015511469634,-19273.3749975608,-61837.0820715055
13,0.721018095299686,-19273.0917780065,-61832.3310483941
14,0.721019496647704,-19272.7864399433,-61827.7491917067
15,0.721020196770665,-19272.4630199683,-61823.2915036567
16,0.721020457343456,-19272.1292009765,-61818.927921056
17,0.721020433618332,-19271.7877865916,-61814.6370508298
18,0.721020194140684,-19271.444121858,-61810.4026652643
19,0.721019780228969,-19271.0565756111,-61806.2129728451
20,0.72101919686225,-19270.6680824176,-61802.0639928563
21,0.721018447301527,-19270.2838327294,-61797.9486555899
22,0.721017589501899,-19269.9064256324,-61793.8607715223
23,0.721016651077407,-19269.5384563125,-61789.7948499461
24,0.721015661906303,-19269.1772978353,-61785.7455521225
25,0.721014634041374,-19268.8234868372,-61781.7081614397
26,0.721013591813123,-19268.475588468,-61777.6781438761
27,0.721012550731253,-19268.131619399,-61773.6514370653
28,0.72101152132987,-19267.7893372496,-61769.6243811126
29,0.72101050855011,-19267.4465418579,-61765.5939485971
30,0.721009511631031,-19267.0998504865,-61761.5579896034
31,0.721008518474864,-19266.7511462003,-61757.5146914284
32,0.721007533405983,-19266.3983460816,-61753.4634090849
33,0.721006541296288,-19266.0413677753,-61749.40400727
34,0.721005534981704,-19265.6805956991,-61745.3367647758
35,0.721004510937451,-19265.315904223,-61741.262218046
36,0.721003469587046,-19264.948600037,-61737.1804939199
37,0.721002407632387,-19264.5794212529,-61733.0928956645
38,0.721001335117968,-19264.2032586309,-61728.9993705058
39,0.721000266634527,-19263.824992553,-61724.900240851
40,0.720999216210261,-19263.4441034313,-61720.7964549129
41,0.720998162028068,-19263.0657150514,-61716.6873055642
42,0.720997113904777,-19262.6859694746,-61712.5725778095
43,0.720996052269075,-19262.3054331666,-61708.4519640583
44,0.720994976729272,-19261.9237624348,-61704.3251164445
45,0.720993884408521,-19261.5405743105,-61700.1916458754
46,0.720992772480738,-19261.1552931871,-61696.0511774129
47,0.720991639951805,-19260.7664018124,-61691.9033112983
48,0.720990481537009,-19260.3758629643,-61687.7477120622
49,0.72098930536965,-19259.9822797136,-61683.58413347
50,0.720988107480934,-19259.5853974066,-61679.412366931
51,0.720986887375296,-19259.1829205327,-61675.2322303668
52,0.720985625991239,-19258.763128358,-61671.0391340216
53,0.720984295800515,-19258.3284725808,-61666.8298230047
54,0.720983034110301,-19257.8856283142,-61662.6106690257
55,0.720981777072974,-19257.4449304075,-61658.3892951532
56,0.720980521619397,-19257.0180601687,-61654.1731708252
57,0.72097925463747,-19256.6113096732,-61649.9650323158
58,0.720977971209354,-19256.2391586478,-61645.7591064217
59,0.720976882395537,-19255.8907296439,-61641.5421002527
60,0.720975941567332,-19255.5486047103,-61637.2933545015
61,0.720975098720723,-19255.195144818,-61633.0022499295
62,0.720974329065183,-19254.8495982075,-61628.6796318698
63,0.720973686486808,-19254.5012344024,-61624.3174325258
64,0.720973046414008,-19254.1359890453,-61619.9090959421
65,0.720972301113513,-19253.7379948339,-61615.4517025231
66,0.720971352687268,-19253.2949084695,-61610.9476284621
67,0.720970138043571,-19252.8022878402,-61606.4051094273
68,0.720968637668621,-19252.2661767848,-61601.8368909242
69,0.72096686981224,-19251.7019001989,-61597.2575462928
70,0.720964877943578,-19251.1250471129,-61592.6802717157
71,0.720962702961549,-19250.4844372662,-61588.1094360866
72,0.720960058095626,-19249.8426936258,-61583.5445939999
73,0.720957247652166,-19249.217045265,-61578.991332518
74,0.72095442819793,-19248.6182074361,-61574.4549730993
75,0.72095170409528,-19248.0535375918,-61569.9404372173
76,0.720949139714075,-19247.5269753859,-61565.4521794966
