"Iteration","RMSE","ELBO_Proxy"
1,0.97264329754595,-136024.263282727
2,1.01901281870324,-128077.834241157
3,1.00504798943755,-126959.096404903
4,1.00413514693929,-126727.357497639
5,1.00491390745524,-126625.176822727
6,1.00595457416079,-126547.719887547
7,1.00701355435627,-126479.29242578
8,1.00801774517229,-126414.310555923
9,1.00892451873762,-126349.856596979
10,1.00970348553652,-126286.732646339
11,1.01035331565883,-126225.862809215
12,1.01089937909115,-126167.676280036
13,1.01127072944884,-126114.795891632
14,1.01160026420659,-126064.444915842
15,1.01185356355323,-126019.732607845
16,1.01204612825407,-125979.804336558
17,1.01220614781057,-125945.512677083
18,1.01234772759048,-125917.523094561
19,1.01248390478515,-125894.433530021
20,1.01261945912949,-125881.120094247
21,1.01275534830406,-125875.746772945
22,1.01289958907047,-125875.637508484
23,1.01305680679162,-125879.266592072
24,1.01322572077361,-125886.427914983
25,1.01339818938952,-125897.041507804
26,1.01356635468938,-125910.036452196
27,1.01372465787158,-125924.999262886
28,1.01387886381948,-125941.238384631
29,1.01402868782508,-125958.28056956
30,1.01417365404215,-125975.820265049
31,1.01431298631839,-125993.576925191
32,1.01444596680827,-126011.276561742
33,1.01457214663752,-126028.701825987
34,1.01469142646733,-126045.721252207
35,1.01480398998629,-126062.328254958
36,1.01491022161064,-126078.600781153
37,1.01501057986057,-126094.586883696
38,1.01510472356656,-126110.153953313
39,1.01519280424386,-126125.257887243
40,1.01527604064522,-126139.962504042
41,1.01535598336705,-126154.168127614
42,1.01543275177006,-126167.705412445
43,1.01550476969974,-126180.595682613
44,1.01557130069651,-126192.897936203
45,1.01563286466629,-126204.622937722
46,1.01569031459952,-126215.780990101
47,1.01574442553932,-126226.400972765
48,1.01579579883809,-126236.512533577
49,1.0158448178822,-126246.13790671
50,1.01589173737285,-126255.299807555
51,1.01593680031665,-126264.027977907
52,1.01598029567342,-126272.367076119
53,1.01602255280016,-126280.340169311
54,1.01606374724904,-126287.98198521
55,1.01610402606573,-126295.290546813
56,1.01614323874735,-126302.178252747
57,1.01618068464664,-126308.55145903
58,1.01621561739324,-126314.431104297
59,1.01624789481962,-126319.835714699
60,1.01627751406891,-126324.79567341
61,1.0163046556042,-126329.345660494
62,1.01632955216354,-126333.502266794
63,1.01635234768874,-126337.280750437
64,1.01637315181127,-126340.696011368
65,1.0163920452126,-126343.762679899
66,1.01640908846951,-126346.495761973
67,1.01642433450152,-126348.911717347
68,1.01643784295768,-126351.029449323
69,1.01644969124668,-126352.870329149
70,1.01645997840972,-126354.457905734
71,1.01646882289009,-126355.813441664
72,1.01647634190185,-126356.963326716
73,1.01648267957013,-126357.933510708
74,1.01648798034365,-126358.746958255
75,1.01649237640139,-126359.424582613
76,1.01649598933078,-126359.985032345
77,1.0164989288753,-126360.444921918
78,1.01650129289062,-126360.818860277
79,1.01650316713277,-126361.119470586
80,1.01650462706064,-126361.357824126
81,1.01650573738845,-126361.543435725
82,1.01650655374432,-126361.684463058
83,1.01650712397729,-126361.787927016
