"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.899656883752856,-126939.700614184,-150673.93236121
2,0.979977169329925,-112796.807013718,-145493.244670762
3,0.951751819291546,-109897.868994035,-144856.634519061
4,0.947505083715501,-109263.227486881,-144674.326345373
5,0.947546823778094,-109099.769419453,-144572.74928638
6,0.94844659539337,-109051.511487657,-144501.536786226
7,0.949460786047223,-109039.193581978,-144446.169478954
8,0.950435858464205,-109041.788785674,-144400.312326462
9,0.951345724209571,-109052.498472433,-144359.98589555
10,0.952192880322428,-109066.583601606,-144323.732171581
11,0.952976846438115,-109083.721874076,-144291.590786725
12,0.953699812128168,-109103.608998118,-144262.427437802
13,0.954366381517846,-109123.803377323,-144234.934637357
14,0.954966397190799,-109147.402632998,-144207.938567454
15,0.955562176049289,-109172.415675686,-144181.531853897
16,0.95612974548408,-109198.508336645,-144155.716832883
17,0.956668715504758,-109224.843381361,-144130.14010743
18,0.95716745267338,-109251.814476308,-144104.691668095
19,0.957634539360933,-109279.652517885,-144079.540845252
20,0.958080179971215,-109308.183042453,-144054.42577994
21,0.958511330399236,-109337.059306023,-144029.194070184
22,0.958928596424953,-109366.43242896,-144003.983415622
23,0.95932909296517,-109395.88073994,-143978.809133063
24,0.959707898786527,-109424.691797506,-143953.985952277
25,0.960065146589726,-109453.460780764,-143929.708738231
26,0.960408686359844,-109482.677666534,-143906.071570077
27,0.960743018586849,-109512.284358708,-143883.11684161
28,0.961067958950085,-109541.907400838,-143860.965074369
29,0.961379874267151,-109570.654894449,-143839.516375087
30,0.961673565340186,-109597.81278234,-143818.683585868
31,0.961945370174055,-109622.904447455,-143798.387090035
32,0.96219361546545,-109645.863207095,-143778.637609169
33,0.962417191980935,-109667.241787529,-143759.548512878
34,0.962617301212136,-109687.415351553,-143741.150100647
35,0.962797857741893,-109705.383946047,-143723.779912186
36,0.962960190171715,-109720.292156556,-143708.181199393
37,0.963102380202947,-109732.046437457,-143694.374677909
38,0.963223328181412,-109741.161968948,-143681.898873133
39,0.963326315350405,-109748.230385999,-143670.326860244
40,0.963415526202245,-109753.9350523,-143659.226770668
41,0.963496023903628,-109759.236861733,-143648.238248033
42,0.963573600910199,-109764.630888372,-143637.204480131
43,0.963651084308424,-109770.327187852,-143626.213919909
44,0.963733826799968,-109776.008072624,-143615.2087303
45,0.963809521596762,-109781.454469305,-143604.279399314
46,0.963877874695894,-109786.775430745,-143593.40403355
47,0.963941800632639,-109791.984285215,-143582.59094312
48,0.96400325184608,-109797.004321219,-143571.91451941
49,0.964061460184711,-109801.929261169,-143561.486968424
50,0.964116565681732,-109806.877625419,-143551.285335906
51,0.964169565736739,-109811.953432317,-143541.324570753
52,0.964221301000613,-109817.221298937,-143531.604368516
53,0.964272352129514,-109822.724408734,-143522.139061373
54,0.964323027985988,-109828.509727891,-143512.956967684
55,0.964373465036956,-109834.633217298,-143504.086701163
56,0.964423817038087,-109841.139959198,-143495.54322228
57,0.964474279636414,-109848.041770304,-143487.327148298
58,0.96452498406172,-109855.324114029,-143479.425562852
59,0.964575953243792,-109862.961182107,-143471.811629713
60,0.96462717556499,-109870.917856426,-143464.44036307
61,0.964678639522248,-109879.152945525,-143457.250161378
62,0.964730355286669,-109887.62213472,-143450.162312634
63,0.964782322220596,-109896.218101059,-143443.089706643
64,0.964834092635636,-109904.775591661,-143435.926383083
65,0.964885177499918,-109913.184955849,-143428.573689484
66,0.96493499325817,-109921.66203261,-143421.170367058
67,0.96498315060821,-109930.085699104,-143413.77035018
68,0.965030093458175,-109938.4037889,-143406.400442195
69,0.965076027228071,-109946.577668167,-143399.115422481
70,0.965121130843002,-109954.563343321,-143391.982066019
71,0.965165367703824,-109962.288074827,-143385.054708432
72,0.965208167322025,-109969.737102021,-143378.417442235
73,0.965249496245665,-109976.911030263,-143372.147607166
74,0.965289228443656,-109983.805472814,-143366.290370738
75,0.965327148432151,-109990.421637441,-143360.859323918
76,0.965363091242113,-109996.735199879,-143355.844175267
77,0.965396874815758,-110002.738799044,-143351.21810384
78,0.965428385484886,-110008.433227222,-143346.948498756
79,0.96545728283563,-110013.800118418,-143342.99889635
80,0.965483279288931,-110018.826212986,-143339.330632421
81,0.965506190400313,-110023.505313946,-143335.90560363
82,0.965525921405191,-110027.837566573,-143332.687825368
83,0.965542451464129,-110031.804171362,-143329.646767536
