"Iteration","RMSE","ELBO_Proxy"
1,0.97264329754595,-135593.999846529
2,1.00972655098773,-127587.043741626
3,0.996214920019297,-126530.045982945
4,0.995353425012777,-126337.167365798
5,0.99596995498053,-126267.78961251
6,0.996848180575271,-126222.649549664
7,0.997798056073609,-126186.079913429
8,0.998789900804894,-126154.856096214
9,0.999806909221674,-126125.15937759
10,1.00084336816001,-126094.327211247
11,1.00191125393469,-126060.742609723
12,1.00301643523058,-126023.507007658
13,1.00416011049134,-125981.396948472
14,1.00532558003424,-125933.211837804
15,1.00646979302098,-125879.049421851
16,1.00753201781567,-125819.103620828
17,1.00847609832787,-125757.908160301
18,1.00925490740442,-125700.787656103
19,1.00987824487178,-125653.058188044
20,1.01037465529129,-125615.308794584
21,1.01078433297969,-125588.103602354
22,1.01112977838253,-125570.750262435
23,1.01142733231176,-125561.710449793
24,1.01168779787806,-125559.290763496
25,1.01191895211412,-125561.885600257
26,1.0121262575319,-125568.13372494
27,1.01231347225576,-125576.916158229
28,1.01248337858081,-125587.334071246
29,1.01263796008663,-125598.699274656
30,1.01277877910415,-125611.700405635
31,1.01291345679831,-125625.091246792
32,1.01303803067455,-125638.396809788
33,1.0131514285331,-125651.434185821
34,1.01325470004452,-125664.044843025
35,1.01334913146137,-125676.094176401
36,1.01343572364098,-125687.497575317
37,1.01351535928357,-125698.206266665
38,1.01358858213933,-125708.212769997
39,1.01365550594328,-125717.557090509
40,1.01371623457867,-125726.310532194
41,1.01377178357309,-125734.453897178
42,1.01382253730408,-125742.055965781
43,1.01386910451849,-125749.13004171
44,1.01391184582197,-125755.704708667
45,1.01395111049952,-125761.803044316
46,1.01398719223042,-125767.445989172
47,1.01402034221895,-125772.652700858
48,1.01405077310661,-125777.441108187
49,1.01407866591959,-125781.828012728
50,1.01410416156575,-125785.836289232
51,1.0141274563276,-125789.473397975
52,1.0141486047704,-125792.762271769
53,1.01416775924116,-125795.722795371
54,1.01418503935542,-125798.375179038
55,1.01420056334878,-125800.740149705
56,1.01421444893264,-125802.838849885
57,1.0142268143113,-125804.66837072
58,1.01423781022225,-125806.25522373
59,1.01424746275623,-125807.633561338
60,1.01425588913709,-125808.824489132
61,1.01426319077937,-125809.862083111
62,1.01426954312095,-125810.736868656
63,1.01427490819964,-125811.476892125
64,1.01427945207982,-125812.100376352
65,1.01428327696223,-125812.623512732
66,1.01428647986022,-125813.060398203
67,1.01428914694706,-125813.423530468
68,1.01429135539394,-125813.724013712
69,1.01429317357862,-125813.971174426
70,1.01429466085472,-125814.173289185
71,1.01429586877472,-125814.337761092
72,1.01429685656427,-125814.469967046
73,1.01429763376336,-125814.58227447
74,1.01429824978226,-125814.665281576
75,1.01429871990306,-125814.7288908
76,1.01429907762468,-125814.7767076
77,1.01429934065848,-125814.811378269
78,1.01429952481106,-125814.835071773
79,1.0142996431762,-125814.849704393
80,1.01429970770641,-125814.856663796
