"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.899656883752856,-126570.392077834,-150723.024060766
2,0.969596374773431,-112249.622951009,-145454.193371942
3,0.941304249190211,-109384.908796387,-144832.695770694
4,0.937398899943138,-108784.430667582,-144651.411355434
5,0.937530955316277,-108634.191082316,-144541.801081907
6,0.938360457211275,-108586.905632897,-144460.533011147
7,0.939227848714758,-108569.64654133,-144394.72858177
8,0.940014261056298,-108563.857271199,-144338.501895613
9,0.940709201756848,-108563.661472384,-144288.806425502
10,0.941314955136078,-108567.143877705,-144243.992137506
11,0.94184946760597,-108572.701051735,-144202.296343298
12,0.942315491684269,-108578.409644139,-144162.631157059
13,0.942730213037963,-108584.895911253,-144125.599576044
14,0.943103873838246,-108592.214823958,-144091.73233424
15,0.943437804265327,-108599.721684156,-144061.748694796
16,0.943725437838283,-108607.861778379,-144034.816974836
17,0.943967448528598,-108616.661708479,-144010.032787097
18,0.944171510074675,-108626.053081111,-143986.950841654
19,0.944346465849968,-108635.549454558,-143965.142573464
20,0.944496507039713,-108645.341060018,-143944.156812105
21,0.944626555557053,-108655.5875546,-143923.733770723
22,0.944741196218874,-108666.263160323,-143903.702971241
23,0.944843364562102,-108677.292744223,-143884.109249709
24,0.944935920368233,-108688.848687038,-143865.103776366
25,0.945021467122433,-108700.957823607,-143846.804634961
26,0.945102140612184,-108713.546917592,-143829.409759006
27,0.945179597946494,-108726.569247906,-143812.988268744
28,0.945256187755385,-108739.978750703,-143797.516415937
29,0.945334075207605,-108754.378603091,-143782.957384332
30,0.94541774293557,-108770.131431886,-143769.158908501
31,0.945510144124133,-108786.279969275,-143756.019041977
32,0.945607926837048,-108802.575590647,-143743.524107903
33,0.945711007198652,-108818.896406207,-143731.664622859
34,0.945819444580029,-108835.131554579,-143720.43301927
35,0.945933207336642,-108851.204773153,-143709.821654874
36,0.946052341395247,-108867.022954571,-143699.820587959
37,0.946176674033038,-108882.535936395,-143690.416387263
38,0.946306106311329,-108897.67433445,-143681.590538086
39,0.946440356583584,-108912.405782053,-143673.32032754
40,0.946579286823104,-108926.703616125,-143665.577447914
41,0.94672270180236,-108940.530959702,-143658.326982418
42,0.946870401122183,-108953.893199264,-143651.535609065
43,0.947022132990447,-108966.815902786,-143645.16860504
44,0.947177946397378,-108979.316994567,-143639.190084874
45,0.947337887104608,-108991.383990271,-143633.563934379
46,0.947501954613731,-109003.088104568,-143628.255211384
47,0.94767056675481,-109014.460901691,-143623.229858606
48,0.947843958223831,-109025.428988757,-143618.445038446
49,0.948021927801651,-109036.064220848,-143613.858857725
50,0.948205034268561,-109046.460600923,-143609.445355423
51,0.948394033187586,-109056.668153483,-143605.182722018
52,0.948589505999605,-109066.753219769,-143601.052196399
53,0.948792143238685,-109076.762180283,-143597.037316797
54,0.949002570907345,-109086.725315342,-143593.122082008
55,0.94922140890404,-109096.663302943,-143589.289534139
56,0.949449293479212,-109106.614254729,-143585.521234695
57,0.949687034771013,-109116.603989665,-143581.797110972
58,0.949935437257949,-109126.661958677,-143578.095803185
59,0.950195376197896,-109136.818371352,-143574.394601585
60,0.950467674032487,-109147.112991174,-143570.669800547
61,0.950753349733108,-109157.581510696,-143566.897104373
62,0.95105333992327,-109168.262915442,-143563.052492027
63,0.951368586441122,-109179.190303443,-143559.112853942
64,0.951699994819487,-109190.385034557,-143555.052660728
65,0.952048224224227,-109201.878004949,-143550.845567618
66,0.952413889715427,-109213.744127256,-143546.478218352
67,0.952797923624675,-109226.311960139,-143542.004252079
68,0.95316265421563,-109238.896834565,-143537.541761428
69,0.953513639576595,-109251.387030416,-143533.096837336
70,0.953856551654562,-109263.811471636,-143528.669383695
71,0.954193574574455,-109276.198927491,-143524.257705219
72,0.95452563154643,-109288.57389328,-143519.855391045
73,0.954853186997163,-109300.94924067,-143515.452513464
74,0.955176456059304,-109313.355160876,-143511.037005665
75,0.955495682105912,-109325.792924049,-143506.600760049
76,0.955810736479725,-109338.235069324,-143502.141765694
77,0.956121530622683,-109350.654050437,-143497.653796549
78,0.956427915245114,-109363.017970821,-143493.14088195
79,0.956729468397904,-109375.302076251,-143488.608747116
80,0.957025722364446,-109387.494877815,-143484.060523998
81,0.957316454666072,-109399.57685939,-143479.498891825
82,0.957601460760793,-109411.527909196,-143474.92761715
83,0.95788053327534,-109423.321833844,-143470.349483261
84,0.958153431103748,-109434.896489259,-143465.764016904
85,0.95841978091128,-109446.236607308,-143461.173408378
86,0.95867953014977,-109457.316709461,-143456.582836227
87,0.958932581961371,-109468.137494467,-143452.015151352
88,0.959178743015068,-109478.696789245,-143447.461719518
89,0.959417760932062,-109488.990529892,-143442.943057456
90,0.959649305197382,-109499.027023257,-143438.477502237
91,0.959873228828822,-109508.785330016,-143434.076045589
92,0.960089240568421,-109518.248821368,-143429.746275293
93,0.960297235636826,-109527.393928682,-143425.492247517
94,0.960497136387954,-109536.193847435,-143421.315287016
95,0.96068889654992,-109544.631064196,-143417.216242693
96,0.960872566614043,-109552.686382824,-143413.193058288
97,0.961048218914673,-109560.346166,-143409.24235896
98,0.96121600253324,-109567.600633736,-143405.358965908
99,0.961376135814404,-109574.442736646,-143401.535765733
100,0.961528903398307,-109580.865812419,-143397.763622165
101,0.961674637349978,-109586.865478546,-143394.032109529
102,0.961813715448213,-109592.377975807,-143390.338779942
103,0.961945615386244,-109597.396903273,-143386.698383294
104,0.962069956536648,-109601.998496816,-143383.107159454
105,0.96218752458051,-109606.216579261,-143379.559175192
106,0.962298787769651,-109610.073445147,-143376.048877869
107,0.962404133613537,-109613.587167764,-143372.570968621
108,0.962503906219508,-109616.772167188,-143369.120471897
109,0.962598402827056,-109619.639985644,-143365.69204843
110,0.962687887893907,-109622.223981346,-143362.282911337
111,0.962772749318436,-109624.505881693,-143358.887660939
112,0.962853020517745,-109626.503209323,-143355.503404398
113,0.962928955790368,-109628.224569382,-143352.127154926
114,0.963000721722509,-109629.675081603,-143348.756557936
115,0.963068451463793,-109630.854670154,-143345.389660913
116,0.96313222904147,-109631.768710207,-143342.025233728
117,0.96319216719467,-109632.414784771,-143338.662032089
118,0.963248308690582,-109632.799159551,-143335.30663609
119,0.963300751761623,-109632.904012769,-143331.94828993
120,0.963349397949111,-109632.727246241,-143328.589815382
121,0.963394322855713,-109632.268280317,-143325.232945674
122,0.963435556982469,-109631.528128669,-143321.87823843
123,0.963473124378869,-109630.505767074,-143318.526731942
124,0.963506981001262,-109629.193141514,-143315.178793772
125,0.963537079577303,-109627.606210176,-143311.835478569
126,0.963563424638199,-109625.698644488,-143308.494249558
127,0.963586090201916,-109623.506372341,-143305.157744984
128,0.963604965238296,-109621.021837361,-143301.824404023
129,0.963620104500128,-109618.234169059,-143298.49502092
130,0.96363143682599,-109615.334798906,-143295.169097632
131,0.963638751936667,-109612.449443951,-143291.840713696
132,0.963641626286478,-109609.310197089,-143288.504174634
133,0.963640031250195,-109605.858331475,-143285.156627186
134,0.963634034251594,-109602.082245498,-143281.796731434
135,0.963623533362291,-109597.968251157,-143278.420442164
136,0.963608404767516,-109593.511670606,-143275.027007901
137,0.963588519859479,-109588.694294441,-143271.610381699
138,0.96356360350021,-109583.487704938,-143268.166887005
139,0.963533408942617,-109577.891173014,-143264.691486374
140,0.963497723130265,-109571.886638789,-143261.178999371
141,0.963456253024717,-109565.458069621,-143257.623720215
142,0.963408707821949,-109558.589927335,-143254.022390297
143,0.963354780847674,-109551.265941538,-143250.369375748
144,0.963294103420037,-109543.466380736,-143246.65901819
145,0.963226241277555,-109535.174371958,-143242.885092322
146,0.963150727821755,-109526.368638361,-143239.04160009
147,0.96306699733014,-109517.009391277,-143235.119414634
148,0.962974225635202,-109507.063906648,-143231.107665858
149,0.962871637405759,-109496.491898003,-143226.99343545
