"Dataset","Platform","n","Prior","K_fit","C_Train","C_Test","ELBO_Final","N_Iters","Mean_Sparsity_Pct","Converged"
"TCGA_PAAD","RNA-seq",144,"point_normal",5,0.3849,0.3413,-392878.47,171,0,TRUE
"TCGA_PAAD","RNA-seq",144,"point_laplace",5,0.6175,0.7067,-430405.05,300,0,FALSE
"TCGA_PAAD","RNA-seq",144,"point_normal (K_eff)",9,0.6218,0.625,-386866.2,300,0,FALSE
"TCGA_PAAD","RNA-seq",144,"point_laplace (K_eff)",9,0.6237,0.6202,-384924.69,300,0,FALSE
"CPTAC","Proteomics",129,"point_normal",8,0.3151,0.3892,-359550.58,34,0,TRUE
"CPTAC","Proteomics",129,"point_laplace",5,0.7018,0.6048,-422847.01,245,0,TRUE
"CPTAC","Proteomics",129,"point_normal (K_eff)",8,0.7072,0.6347,-406314.24,34,0.05,TRUE
"CPTAC","Proteomics",129,"point_laplace (K_eff)",8,0.7045,0.6228,-405212.44,21,0,TRUE
"Dijk","RNA-seq",90,"point_normal",5,0.3829,0.381,-183349.43,120,0,TRUE
"Dijk","RNA-seq",90,"point_laplace",5,0.6341,0.483,-213627.19,145,0,TRUE
"Dijk","RNA-seq",90,"point_normal (K_eff)",10,0.68,0.5442,-185414.75,300,0.01,FALSE
"Dijk","RNA-seq",90,"point_laplace (K_eff)",10,0.6751,0.5102,-184285.49,185,0,TRUE
"Moffitt_GEO_array","Microarray",123,"point_normal",5,0.4287,0.475,-19425.65,14,0,TRUE
"Moffitt_GEO_array","Microarray",123,"point_laplace",5,0.5913,0.58,-61062.38,300,0,FALSE
"Moffitt_GEO_array","Microarray",123,"point_normal (K_eff)",10,0.6796,0.53,-5206.56,112,0,TRUE
"Moffitt_GEO_array","Microarray",123,"point_laplace (K_eff)",10,0.6746,0.55,-3698.38,256,0,TRUE
"PACA_AU_array","Microarray",63,"point_normal",5,0.3531,0.4048,-126361.79,83,0,TRUE
"PACA_AU_array","Microarray",63,"point_laplace",5,0.6379,0.6667,-149658.17,80,0,TRUE
"PACA_AU_array","Microarray",63,"point_normal (K_eff)",8,0.6771,0.7381,-142920.97,221,0.01,TRUE
"PACA_AU_array","Microarray",63,"point_laplace (K_eff)",8,0.6715,0.7381,-142694.73,220,0,TRUE
"PACA_AU_seq","RNA-seq",52,"point_normal",5,0.2095,0.1852,3696.53,186,0,TRUE
"PACA_AU_seq","RNA-seq",52,"point_laplace",5,0.7855,0.8889,-23243.06,165,0,TRUE
"PACA_AU_seq","RNA-seq",52,"point_normal (K_eff)",9,0.8395,0.7407,-14295.96,228,0.01,TRUE
"PACA_AU_seq","RNA-seq",52,"point_laplace (K_eff)",9,0.7872,0.7778,-14089.14,184,0,TRUE
"Puleo_array","Microarray",288,"point_normal",5,0.3396,0.3958,264955.26,72,0,TRUE
"Puleo_array","Microarray",288,"point_laplace",5,0.6609,0.5942,216576.72,96,0,TRUE
"Puleo_array","Microarray",288,"point_normal (K_eff)",10,0.6993,0.6739,284148.58,179,0,TRUE
"Puleo_array","Microarray",288,"point_laplace (K_eff)",10,0.698,0.6486,286954.55,218,0,TRUE
