"Iteration","RMSE","ELBO_Proxy"
1,1.20920203764085,-258612.208002285
2,1.22510808975652,-252063.370669156
3,1.220976556877,-251218.934662553
4,1.22041189688433,-250874.641094404
5,1.22024081440495,-250670.343528662
6,1.22028581510883,-250534.718559812
7,1.22047196227745,-250443.55969199
8,1.2207619113958,-250384.71186033
9,1.22110286072825,-250349.609495969
10,1.22144974721503,-250331.248695995
11,1.22177241344812,-250324.154340412
12,1.22205601998787,-250324.175733108
13,1.22229680301125,-250328.445379126
14,1.22249605395203,-250335.167405736
15,1.22265751420091,-250343.329858236
16,1.22278834682214,-250352.46119032
17,1.22289738236973,-250362.322693214
18,1.22299234773489,-250372.748602705
19,1.22307878182034,-250383.845432446
20,1.22316009086132,-250395.734597897
21,1.22323798797474,-250408.135887646
22,1.22331271351038,-250420.472003885
23,1.22338355334852,-250432.331655982
24,1.22344977784353,-250443.743552291
25,1.2235115099786,-250454.968939164
26,1.22356977415821,-250466.160129879
27,1.22362576893003,-250477.257822479
28,1.22368033972065,-250488.123939602
29,1.22373383330694,-250498.753529734
30,1.22378622524739,-250509.344547664
31,1.22383751514848,-250520.08874597
32,1.22388804286869,-250531.108512239
33,1.22393845989516,-250542.576025611
34,1.22398973684329,-250554.786209905
35,1.22404295181885,-250568.187077158
36,1.22409932349208,-250582.73762007
37,1.22415968716055,-250597.771578922
38,1.22422368667632,-250612.397998119
39,1.22428980410049,-250626.306693991
40,1.22435606344383,-250639.560742673
41,1.22442020815955,-250652.012264739
42,1.22447992515031,-250663.327528185
43,1.22453408649039,-250673.009040969
44,1.22458237458963,-250680.764981809
45,1.22462455219191,-250686.741797984
46,1.22466043686225,-250691.281769446
47,1.22469031521381,-250694.727132479
48,1.224714806269,-250697.452945676
49,1.22473452817037,-250699.686240616
50,1.2247502878828,-250701.563887627
51,1.22476285740852,-250703.163238216
52,1.22477292353859,-250704.535335883
53,1.22478106890934,-250705.721028183
54,1.22478775611213,-250706.752971344
55,1.22479333589149,-250707.654936979
56,1.22479807463582,-250708.39611224
57,1.22480226651346,-250709.050444806
58,1.2248059696943,-250709.643140176
59,1.22480928431331,-250710.1843712
60,1.22481229726407,-250710.681572393
61,1.22481506784172,-250711.140727964
62,1.22481763965029,-250711.566658559
63,1.22482004592425,-250711.963262493
64,1.22482231220362,-250712.333795994
65,1.22482445852116,-250712.680620332
66,1.22482650104211,-250713.006849003
67,1.22482845142853,-250713.313576133
