"SampleIndex","Dataset"
1,"TCGA_PAAD"
2,"TCGA_PAAD"
3,"TCGA_PAAD"
4,"TCGA_PAAD"
5,"TCGA_PAAD"
6,"TCGA_PAAD"
7,"TCGA_PAAD"
8,"TCGA_PAAD"
9,"TCGA_PAAD"
10,"TCGA_PAAD"
11,"TCGA_PAAD"
12,"TCGA_PAAD"
13,"TCGA_PAAD"
14,"TCGA_PAAD"
15,"TCGA_PAAD"
16,"TCGA_PAAD"
17,"TCGA_PAAD"
18,"TCGA_PAAD"
19,"TCGA_PAAD"
20,"TCGA_PAAD"
21,"TCGA_PAAD"
22,"TCGA_PAAD"
23,"TCGA_PAAD"
24,"TCGA_PAAD"
25,"TCGA_PAAD"
26,"TCGA_PAAD"
27,"TCGA_PAAD"
28,"TCGA_PAAD"
29,"TCGA_PAAD"
30,"TCGA_PAAD"
31,"TCGA_PAAD"
32,"TCGA_PAAD"
33,"TCGA_PAAD"
34,"TCGA_PAAD"
35,"TCGA_PAAD"
36,"TCGA_PAAD"
37,"TCGA_PAAD"
38,"TCGA_PAAD"
39,"TCGA_PAAD"
40,"TCGA_PAAD"
41,"TCGA_PAAD"
42,"TCGA_PAAD"
43,"TCGA_PAAD"
44,"TCGA_PAAD"
45,"TCGA_PAAD"
46,"TCGA_PAAD"
47,"TCGA_PAAD"
48,"TCGA_PAAD"
49,"TCGA_PAAD"
50,"TCGA_PAAD"
51,"TCGA_PAAD"
52,"TCGA_PAAD"
53,"TCGA_PAAD"
54,"TCGA_PAAD"
55,"TCGA_PAAD"
56,"TCGA_PAAD"
57,"TCGA_PAAD"
58,"TCGA_PAAD"
59,"TCGA_PAAD"
60,"TCGA_PAAD"
61,"TCGA_PAAD"
62,"TCGA_PAAD"
63,"TCGA_PAAD"
64,"TCGA_PAAD"
65,"TCGA_PAAD"
66,"TCGA_PAAD"
67,"TCGA_PAAD"
68,"TCGA_PAAD"
69,"TCGA_PAAD"
70,"TCGA_PAAD"
71,"TCGA_PAAD"
72,"TCGA_PAAD"
73,"TCGA_PAAD"
74,"TCGA_PAAD"
75,"TCGA_PAAD"
76,"TCGA_PAAD"
77,"TCGA_PAAD"
78,"TCGA_PAAD"
79,"TCGA_PAAD"
80,"TCGA_PAAD"
81,"TCGA_PAAD"
82,"TCGA_PAAD"
83,"TCGA_PAAD"
84,"TCGA_PAAD"
85,"TCGA_PAAD"
86,"TCGA_PAAD"
87,"TCGA_PAAD"
88,"TCGA_PAAD"
89,"TCGA_PAAD"
90,"TCGA_PAAD"
91,"TCGA_PAAD"
92,"TCGA_PAAD"
93,"TCGA_PAAD"
94,"TCGA_PAAD"
95,"TCGA_PAAD"
96,"TCGA_PAAD"
97,"TCGA_PAAD"
98,"TCGA_PAAD"
99,"TCGA_PAAD"
100,"TCGA_PAAD"
101,"TCGA_PAAD"
102,"TCGA_PAAD"
103,"TCGA_PAAD"
104,"TCGA_PAAD"
105,"TCGA_PAAD"
106,"TCGA_PAAD"
107,"TCGA_PAAD"
108,"TCGA_PAAD"
109,"TCGA_PAAD"
110,"TCGA_PAAD"
111,"TCGA_PAAD"
112,"TCGA_PAAD"
113,"TCGA_PAAD"
114,"TCGA_PAAD"
115,"TCGA_PAAD"
116,"TCGA_PAAD"
117,"TCGA_PAAD"
118,"TCGA_PAAD"
119,"TCGA_PAAD"
120,"TCGA_PAAD"
121,"TCGA_PAAD"
122,"TCGA_PAAD"
123,"TCGA_PAAD"
124,"TCGA_PAAD"
125,"TCGA_PAAD"
126,"TCGA_PAAD"
127,"TCGA_PAAD"
128,"TCGA_PAAD"
129,"TCGA_PAAD"
130,"TCGA_PAAD"
131,"TCGA_PAAD"
132,"TCGA_PAAD"
133,"TCGA_PAAD"
134,"TCGA_PAAD"
135,"TCGA_PAAD"
136,"TCGA_PAAD"
137,"TCGA_PAAD"
138,"TCGA_PAAD"
139,"TCGA_PAAD"
140,"TCGA_PAAD"
141,"TCGA_PAAD"
142,"TCGA_PAAD"
143,"TCGA_PAAD"
144,"TCGA_PAAD"
145,"Dijk"
146,"Dijk"
147,"Dijk"
148,"Dijk"
149,"Dijk"
150,"Dijk"
151,"Dijk"
152,"Dijk"
153,"Dijk"
154,"Dijk"
155,"Dijk"
156,"Dijk"
157,"Dijk"
158,"Dijk"
159,"Dijk"
160,"Dijk"
161,"Dijk"
162,"Dijk"
163,"Dijk"
164,"Dijk"
165,"Dijk"
166,"Dijk"
167,"Dijk"
168,"Dijk"
169,"Dijk"
170,"Dijk"
171,"Dijk"
172,"Dijk"
173,"Dijk"
174,"Dijk"
175,"Dijk"
176,"Dijk"
177,"Dijk"
178,"Dijk"
179,"Dijk"
180,"Dijk"
181,"Dijk"
182,"Dijk"
183,"Dijk"
184,"Dijk"
185,"Dijk"
186,"Dijk"
187,"Dijk"
188,"Dijk"
189,"Dijk"
190,"Dijk"
191,"Dijk"
192,"Dijk"
193,"Dijk"
194,"Dijk"
195,"Dijk"
196,"Dijk"
197,"Dijk"
198,"Dijk"
199,"Dijk"
200,"Dijk"
201,"Dijk"
202,"Dijk"
203,"Dijk"
204,"Dijk"
205,"Dijk"
206,"Dijk"
207,"Dijk"
208,"Dijk"
209,"Dijk"
210,"Dijk"
211,"Dijk"
212,"Dijk"
213,"Dijk"
214,"Dijk"
215,"Dijk"
216,"Dijk"
217,"Dijk"
218,"Dijk"
219,"Dijk"
220,"Dijk"
221,"Dijk"
222,"Dijk"
223,"Dijk"
224,"Dijk"
225,"Dijk"
226,"Dijk"
227,"Dijk"
228,"Dijk"
229,"Dijk"
230,"Dijk"
231,"Dijk"
232,"Dijk"
233,"Dijk"
234,"Dijk"
235,"PACA_AU_seq"
236,"PACA_AU_seq"
237,"PACA_AU_seq"
238,"PACA_AU_seq"
239,"PACA_AU_seq"
240,"PACA_AU_seq"
241,"PACA_AU_seq"
242,"PACA_AU_seq"
243,"PACA_AU_seq"
244,"PACA_AU_seq"
245,"PACA_AU_seq"
246,"PACA_AU_seq"
247,"PACA_AU_seq"
248,"PACA_AU_seq"
249,"PACA_AU_seq"
250,"PACA_AU_seq"
251,"PACA_AU_seq"
252,"PACA_AU_seq"
253,"PACA_AU_seq"
254,"PACA_AU_seq"
255,"PACA_AU_seq"
256,"PACA_AU_seq"
257,"PACA_AU_seq"
258,"PACA_AU_seq"
259,"PACA_AU_seq"
260,"PACA_AU_seq"
261,"PACA_AU_seq"
262,"PACA_AU_seq"
263,"PACA_AU_seq"
264,"PACA_AU_seq"
265,"PACA_AU_seq"
266,"PACA_AU_seq"
267,"PACA_AU_seq"
268,"PACA_AU_seq"
269,"PACA_AU_seq"
270,"PACA_AU_seq"
271,"PACA_AU_seq"
272,"PACA_AU_seq"
273,"PACA_AU_seq"
274,"PACA_AU_seq"
275,"PACA_AU_seq"
276,"PACA_AU_seq"
277,"PACA_AU_seq"
278,"PACA_AU_seq"
279,"PACA_AU_seq"
280,"PACA_AU_seq"
281,"PACA_AU_seq"
282,"PACA_AU_seq"
283,"PACA_AU_seq"
284,"PACA_AU_seq"
285,"PACA_AU_seq"
286,"PACA_AU_seq"
