"Iteration","RMSE","ELBO_Proxy"
1,0.567440324650136,243643.33633289
2,0.575769415709397,255092.219180836
3,0.573913494329499,255859.382868066
4,0.574576318644449,256055.695791936
5,0.575080469017325,256175.625554293
6,0.575446622494421,256279.062179982
7,0.575724861388248,256386.632242522
8,0.575948786084644,256511.079074066
9,0.576144620006632,256662.868025852
10,0.576334086966421,256851.173252194
11,0.57654002630853,257089.050084196
12,0.576789305537187,257391.663260719
13,0.577106023266257,257772.143911055
14,0.577519792802681,258247.846177861
15,0.578057413642579,258833.59609766
16,0.578742684277714,259537.771468516
17,0.579586149503934,260354.58626058
18,0.580578819499102,261240.120948299
19,0.581674700074376,262123.197230589
20,0.582803577598309,262919.63341115
21,0.583890569602536,263570.55573615
22,0.584865487527108,264053.183265436
23,0.585680243334652,264386.16684759
24,0.586329372486048,264604.429988765
25,0.586825441158032,264741.871543996
26,0.58719620624313,264826.662935429
27,0.587470412822671,264878.214938344
28,0.587671675246433,264908.87884056
29,0.587819582234406,264926.781502712
30,0.587928765350237,264937.091596185
31,0.588009541641188,264942.982134629
32,0.588069394824277,264946.332738355
33,0.588113832237119,264948.23221206
34,0.588146897759194,264949.31011716
35,0.58817154785312,264949.932136121
36,0.588189942666098,264950.30873174
37,0.588203663053451,264950.56167107
38,0.588213871057681,264950.758908751
39,0.588221427868482,264950.936322744
40,0.588226972822867,264951.110430843
41,0.588230986991678,264951.286563773
42,0.588233830590827,264951.413873477
43,0.588235712709128,264951.523357236
44,0.58823685879254,264951.646224544
45,0.588237441503258,264951.781997111
46,0.588237602279955,264951.929470615
47,0.588237445521034,264952.076362622
48,0.588237055311263,264952.225085059
49,0.588236497320604,264952.378730937
50,0.588235817977423,264952.534804018
51,0.588235055436539,264952.693738333
52,0.588234240105638,264952.853580548
53,0.588233396656937,264953.013406027
54,0.588232543130245,264953.17280446
55,0.588231693220226,264953.331100369
56,0.588230856126078,264953.488155586
57,0.588230037276745,264953.641905503
58,0.588229236346837,264953.79257279
59,0.58822845026003,264953.941767876
60,0.588227681868705,264954.087366083
61,0.588226934528598,264954.228261973
62,0.588226208365965,264954.362650081
63,0.588225503405348,264954.488889356
64,0.58822481951836,264954.607424759
65,0.588224160042196,264954.716646719
66,0.588223523175178,264954.81690328
67,0.588222910501673,264954.908528461
68,0.588222322257592,264954.992327265
69,0.588221757666308,264955.06843659
70,0.588221217280286,264955.137961157
71,0.58822069929958,264955.201768786
72,0.588220202318083,264955.260612453
