"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.520026193746007,335599.237580016,267877.621768069
2,0.53445483763084,363819.816471235,280638.102501598
3,0.529511898853784,366241.500760189,281780.58210207
4,0.53015904189307,366675.767076396,282198.448948868
5,0.530786700843962,366822.121079629,282414.990501834
6,0.531243763453778,366881.675980836,282547.977893043
7,0.531585506396617,366904.394130069,282639.855945651
8,0.531849136183941,366909.213999337,282709.407024644
9,0.532058541083015,366904.560795103,282765.768689197
10,0.53222828060652,366894.717720847,282813.692266135
11,0.532366871759558,366881.786809489,282855.743747242
12,0.532480144042983,366866.794630716,282893.68208911
13,0.532573132891063,366850.509320866,282928.84198829
14,0.532650289065747,366833.471487469,282962.207861357
15,0.532715092682411,366815.852102105,282994.348524706
16,0.532770023127604,366797.758332407,283025.514363398
17,0.532816820149393,366779.436269334,283055.887423405
18,0.532856883367799,366761.080553398,283085.637931352
19,0.532891431285853,366742.832023391,283114.888425412
20,0.532921448717023,366724.807612868,283143.730574933
21,0.53294763907661,366707.217834311,283172.313907486
22,0.532970388495467,366690.493495723,283200.719430778
23,0.532990356348938,366674.368196867,283228.337127153
24,0.533008502137193,366658.658924621,283254.484132178
25,0.53302497915309,366643.896982336,283279.208196315
26,0.53303960636064,366630.343822565,283302.822171745
27,0.533052562804142,366617.48717199,283325.264040224
28,0.533064431276607,366605.095094874,283346.236422138
29,0.533075437869024,366593.222342855,283365.645622669
30,0.533085572484795,366581.914074639,283383.547252386
31,0.533094777607355,366571.221269598,283400.04703043
32,0.533103061819999,366561.172931093,283415.246980611
33,0.533110546927313,366551.74003156,283429.225548062
34,0.533117374071434,366542.891670902,283442.062492651
35,0.533123590606464,366534.668577502,283453.857833525
36,0.533129149218772,366527.093287997,283464.720119682
37,0.533133991140534,366520.133040258,283474.751178706
38,0.533138069749777,366513.757789067,283484.042823907
39,0.533141369866938,366507.908512012,283492.721908441
40,0.53314392758306,366502.533795743,283500.879053905
41,0.533145822258729,366497.583247027,283508.603982671
42,0.533147165531585,366493.00542163,283515.974112061
43,0.533148077479576,366488.748881628,283523.052200943
44,0.533148671949942,366484.765910218,283529.888009462
45,0.533149047507512,366481.011420243,283536.5203257
46,0.533149280488908,366477.44778333,283542.979364465
47,0.533149431024261,366474.040715823,283549.288252483
48,0.533149539808875,366470.764471561,283555.465129029
49,0.533149629959198,366467.588247496,283561.523113833
50,0.533149724436357,366464.485425957,283567.469113254
51,0.533149842620022,366461.457781108,283573.310539561
52,0.533149954055603,366458.456155752,283579.003367579
53,0.53314998252775,366455.57085245,283584.670041169
54,0.533149987372998,366452.74324215,283590.251438158
55,0.53314996983325,366449.965012059,283595.789560191
56,0.533149978606245,366447.232851354,283601.209693876
57,0.533149950848273,366444.557664229,283606.545276394
58,0.533149859343926,366441.937431474,283611.82517355
59,0.533149704556415,366439.36847848,283617.045666788
60,0.533149491719652,366436.848383357,283622.209592202
61,0.533149224431872,366434.374647273,283627.32042505
62,0.533148907764383,366431.943511843,283632.382017871
63,0.533148549360953,366429.552644993,283637.397719653
64,0.533148153882,366427.198874249,283642.37047699
65,0.533147728727392,366424.879065274,283647.302780565
66,0.533147280158324,366422.593183082,283652.196713333
67,0.533146811174483,366420.335847715,283657.053864083
68,0.533146328070935,366418.106912752,283661.875452389
69,0.533145833574485,366415.904848335,283666.662378409
70,0.533145331126001,366413.728213018,283671.41529142
71,0.533144823968846,366411.57614583,283676.134699316
72,0.533144314071113,366409.451485176,283680.822978236
73,0.533143807376549,366407.34880593,283685.488711529
74,0.53314331181271,366405.265723376,283690.135048428
75,0.533142839352693,366403.195825406,283694.761279763
76,0.533142388969143,366401.137818601,283699.364566245
77,0.533141962831331,366399.093568642,283703.941617541
78,0.533141560877288,366397.056777926,283708.489701927
79,0.533141180846074,366395.021146351,283713.007251654
80,0.533140824267956,366392.985530967,283717.49453116
81,0.533140490629546,366390.951185617,283721.953122442
82,0.533140181559036,366388.921603189,283726.384954661
83,0.533139900086722,366386.899464441,283730.791426344
84,0.533139649373448,366384.885348589,283735.173137692
85,0.533139429328959,366382.87884545,283739.531163941
86,0.533139235369488,366380.879705983,283743.868284018
87,0.533139057628917,366378.898730825,283748.189533145
88,0.533138878370487,366376.910097707,283752.505279378
89,0.533138692699725,366374.937873545,283756.81923995
90,0.533138475078207,366372.977518727,283761.142747572
91,0.533138215487898,366371.027669848,283765.484850486
92,0.53313790253215,366369.048390946,283769.848219865
93,0.533137563226923,366367.011800812,283774.215793711
94,0.533137214740253,366364.931326949,283778.579369994
95,0.533136841036167,366362.805134876,283782.93790419
96,0.533136440820013,366360.632225481,283787.272779932
97,0.533136009180126,366358.41003855,283791.617000852
98,0.533135543303465,366356.136475353,283795.958943103
99,0.533135039297587,366353.809171012,283800.295811769
100,0.533134496486195,366351.427023046,283804.628326968
101,0.53313391550741,366348.989392899,283808.957579477
102,0.533133300799879,366346.496801641,283813.284211516
103,0.533132658669468,366343.950176498,283817.608102415
104,0.533131998208107,366341.350675706,283821.92769068
105,0.53313133320701,366338.697697439,283826.240054472
106,0.533130666881534,366335.990596042,283830.54106706
107,0.533130008686191,366333.22694139,283834.826165222
108,0.53312936304242,366330.402485429,283839.091083609
109,0.533128731189324,366327.510000598,283843.333016252
110,0.533128112907175,366324.526703803,283847.552237258
111,0.533127512631601,366321.481809664,283851.749084554
112,0.533126910536798,366318.380730246,283855.924691072
113,0.533126299518172,366315.226515202,283860.080667171
114,0.53312567396804,366312.021506748,283864.219038134
115,0.533125032982031,366308.767597124,283868.342023471
116,0.53312437369529,366305.466103474,283872.451847495
117,0.533123692808651,366302.117582969,283876.550700319
118,0.533122986241285,366298.717803547,283880.640732595
119,0.533122247637034,366295.261320615,283884.724539888
120,0.53312146828969,366291.75134171,283888.80489877
121,0.53312064955163,366288.184831236,283892.884823699
122,0.533119788880722,366284.557984013,283896.967918067
123,0.533118885261539,366280.867014325,283901.058196855
124,0.533117939364173,366277.107985985,283905.160251256
125,0.533116954547313,366273.278835935,283909.278808316
126,0.533115933949834,366269.37756604,283913.419449115
127,0.533114884391809,366265.403466189,283917.586340812
128,0.533113811154742,366261.358021486,283921.784041689
129,0.5331127202406,366257.203287261,283926.017566715
130,0.533111675738346,366252.931616391,283930.300496845
131,0.53311071401684,366248.567556823,283934.638796944
132,0.53310980761306,366244.122244581,283939.031326623
133,0.533108950305432,366239.607425605,283943.474741888
134,0.533108132675938,366235.274998155,283947.93090153
135,0.533106938009995,366230.546027641,283952.474449254
136,0.533106374337553,366225.886911126,283957.037238274
137,0.533105634878952,366221.236721896,283961.625664128
138,0.533104863884264,366216.6012042,283966.235421745
139,0.53310405634493,366211.992201943,283970.863588189
140,0.533103207747938,366207.418612446,283975.509391143
141,0.533102315993136,366202.887122996,283980.174271025
142,0.533101381597725,366198.401503274,283984.861256753
143,0.533100412258757,366193.962816495,283989.57423478
144,0.533099418302879,366189.569101375,283994.316902845
145,0.533098412212193,366185.549743334,283999.049023552
146,0.533097049591949,366181.329833177,284003.866572075
147,0.533096019496683,366177.069461773,284008.598709311
148,0.533095320964948,366172.807875343,284013.568312824
149,0.53309411784459,366168.351943858,284018.382008778
150,0.533093578177461,366164.070865886,284023.305841998
151,0.533092603511315,366159.906574851,284028.247112917
152,0.533091531079361,366155.840501051,284033.200322519
153,0.533090427569076,366151.86170338,284038.157093931
154,0.533089312236684,366147.964148452,284043.091888309
155,0.533088193921604,366144.144258879,284048.020756603
156,0.533087076063916,366140.396399159,284052.94205365
157,0.533085963485125,366136.716272808,284057.841047679
158,0.533084863172418,366133.106646219,284062.710608379
159,0.533083774166777,366129.564805555,284067.545620405
160,0.533082697724278,366126.090158986,284072.341872925
161,0.533081631697952,366122.68221798,284077.095218124
162,0.533080571720387,366119.339842617,284081.800919456
163,0.533079513584181,366116.061189553,284086.452784398
164,0.533078451464581,366112.835033943,284091.04312972
165,0.533077386140942,366109.674665678,284095.563112378
166,0.53307631164896,366106.571408799,284100.00370235
167,0.533075227705902,366103.529183973,284104.356697575
168,0.533074135724966,366100.551838604,284108.615415829
169,0.53307303892561,366097.644051038,284112.774979551
170,0.533071942881692,366094.808229003,284116.83209575
171,0.533070857219382,366092.048201887,284120.784650227
172,0.533069791641517,366089.352705981,284124.63124139
173,0.533068764772928,366086.722312731,284128.370950139
174,0.533067786976115,366084.152999015,284132.003238507
175,0.533066870184024,366081.642862759,284135.528168007
176,0.533066021289622,366079.190724323,284138.94636274
177,0.533065244718689,366076.797017033,284142.259196914
178,0.533064540698869,366074.462780574,284145.468735113
179,0.533063905668972,366072.189205784,284148.577746387
