"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.567440324650136,245087.545283088,202143.357457323
2,0.571858613034523,255349.212131515,206728.582724691
3,0.572206641561011,256040.432396541,207269.420439736
4,0.572938041659404,256256.326064031,207529.760460978
5,0.573387690729792,256397.72784938,207711.260600514
6,0.573691198378184,256518.240778566,207862.819707914
7,0.573905053039061,256636.974698547,208005.022297505
8,0.57406637087865,256764.501602537,208149.894384156
9,0.574202874423641,256908.324123599,208306.062327719
10,0.574337315324728,257074.958013088,208480.900654761
11,0.574490147802667,257271.265701408,208681.892233748
12,0.574681323711447,257505.261703737,208917.430889828
13,0.574931727178758,257786.392682543,209197.367411413
14,0.575261647637359,258127.58032961,209535.00125079
15,0.575692901145782,258543.92714988,209946.113406586
16,0.576249365894035,259051.182563127,210447.031379577
17,0.576950775583494,259661.415705133,211050.66938694
18,0.577808699071694,260374.22124675,211757.904968106
19,0.578817768455523,261165.510240978,212545.774822582
20,0.579947357910881,261983.944086416,213363.465867996
21,0.581136106455302,262761.070724097,214138.637383608
22,0.582293305482707,263433.376284426,214802.707581948
23,0.583328836894075,263959.48043087,215316.500731855
24,0.584198785576224,264336.976274777,215683.610213284
25,0.584900334565843,264591.227430936,215931.932114041
26,0.585447062806557,264755.962275098,216094.695984779
27,0.585863015030516,264860.469690091,216199.950582715
28,0.586174796289939,264926.123021223,216268.012136813
29,0.586406791312603,264967.261720092,216312.491846974
30,0.586579094456413,264993.095750028,216342.143929173
31,0.586707259772056,265009.403987777,216362.483220895
32,0.586802908922956,265019.783747346,216376.95852396
33,0.586874565523808,265026.466944182,216387.722234886
34,0.586928441895576,265030.840699145,216396.120557722
35,0.586969065551406,265033.768669692,216402.998322195
36,0.586999750532635,265035.789613011,216408.887829333
37,0.587022938347071,265037.240097146,216414.125742295
38,0.587040441056063,265038.330610685,216418.926104481
39,0.587053613439718,265039.192800666,216423.425297158
40,0.587063475730446,265039.909003447,216427.710691108
41,0.587070801109411,265040.530631132,216431.838506709
42,0.587076178961642,265041.089832503,216435.844903733
43,0.587080060471968,265041.60688045,216439.753607298
44,0.587082792448858,265042.093427654,216443.579617844
45,0.587084642993666,265042.557328996,216447.333158346
46,0.587085818636306,265043.003174765,216451.020900231
47,0.587086479334389,265043.43370113,216454.647300183
48,0.587086749030927,265043.850373645,216458.215541391
49,0.587086723438187,265044.25457443,216461.727792245
50,0.587086476865926,265044.64644969,216465.185717913
51,0.587086066718665,265045.026517975,216468.590606869
52,0.587085537558922,265045.395061811,216471.943526342
53,0.587084924071548,265045.752316731,216475.245392536
54,0.587084253405374,265046.098513602,216478.497083754
55,0.587083546926994,265046.433823785,216481.699203889
56,0.587082821540243,265046.758447475,216484.852490516
57,0.587082090756563,265047.072550976,216487.957563193
58,0.587081365427079,265047.376276346,216491.015000549
59,0.587080654290598,265047.669748589,216494.025326485
60,0.587079964384521,265047.953070369,216496.989047668
61,0.587079301348293,265048.226373883,216499.906722552
62,0.587078669710561,265048.489663196,216502.778646969
63,0.587078072897288,265048.743076227,216505.605298918
64,0.587077513591911,265048.986696504,216508.387215101
65,0.587076993742349,265049.220640665,216511.12479127
66,0.587076514794071,265049.445030542,216513.81847553
67,0.587076077704659,265049.660003152,216516.468722267
68,0.587075683076477,265049.865709606,216519.075992865
69,0.587075331233966,265050.062313159,216521.640816702
70,0.587075022285788,265050.249986151,216524.163556811
71,0.587074756227247,265050.428909585,216526.644751309
72,0.587074532913013,265050.599265685,216529.084908968
73,0.587074352132878,265050.761238966,216531.484519966
74,0.5870742136476,265050.915011134,216533.844086591
75,0.587074117187791,265051.06075918,216536.164113335
76,0.587074062462626,265051.198654035,216538.445095262
77,0.587074049153712,265051.328851821,216540.687626436
78,0.587074076910698,265051.451517272,216542.892102246
79,0.587074145383198,265051.5667908,216545.05909772
80,0.587074254109476,265051.674795486,216547.189131367
81,0.587074402408702,265051.775714068,216549.282750796
82,0.587074590119278,265051.869623464,216551.34049095
83,0.587074816180865,265051.956645461,216553.362869381
84,0.587075079795346,265052.036968626,216555.350530716
85,0.587075380036298,265052.110703072,216557.30401861
86,0.58707571582565,265052.177995431,216559.223927605
87,0.587076085953435,265052.239007437,216561.11083638
88,0.58707648905767,265052.293901816,216562.965429282
89,0.587076923781697,265052.342863655,216564.788310832
90,0.587077388591735,265052.386093703,216566.580133494
91,0.587077881962783,265052.423796773,216568.341555041
92,0.587078402273766,265052.456194928,216570.073243992
93,0.587078947927124,265052.483516232,216571.775874167
94,0.587079517316823,265052.506000243,216573.450152221
95,0.58708010895259,265052.523888208,216575.096701731
96,0.587080721260834,265052.537421781,216576.716226424
