"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,0.520026193746007,337977.97362859,269938.19125092
2,0.528787559332019,364652.485061924,281810.41415085
3,0.526928591008734,366853.302831078,282955.736160489
4,0.527875591658282,367277.274306562,283416.889178767
5,0.528553951460082,367437.84845488,283671.299778702
6,0.529022607858221,367513.883957791,283833.591992753
7,0.529354607806108,367552.900793554,283948.299037418
8,0.529596061168198,367573.634383773,284035.958146942
9,0.529776181455343,367584.441472915,284106.922684958
10,0.529913675915937,367589.424367436,284166.894534722
11,0.530020742973453,367590.793621513,284219.25831406
12,0.530105536118382,367589.80001176,284266.153660852
13,0.530173679703127,367587.214486202,284308.998196104
14,0.530229156966604,367583.523638688,284348.75859388
15,0.530274834176527,367579.034019677,284386.095119764
16,0.530312804018983,367573.947722503,284421.460649721
17,0.530344625458875,367568.456770713,284455.173344066
18,0.530371505409298,367562.615851448,284487.461046104
19,0.530394379991041,367556.513774371,284518.476918326
20,0.530413986022452,367550.246182262,284548.32371113
21,0.530430898480105,367543.901045079,284577.054576019
22,0.530445592448059,367537.537002405,284604.671232316
23,0.53045846045121,367531.23260753,284631.174729838
24,0.5304697761239,367525.097876511,284656.600317338
25,0.53047972301072,367519.23086652,284681.004416967
26,0.530488451192116,367513.675270564,284704.424204143
27,0.530496107393251,367508.455397709,284726.879864255
28,0.530502815556176,367503.585797943,284748.387325245
29,0.530508690017934,367499.076951782,284768.969343878
30,0.530513825824762,367494.935234352,284788.657367859
31,0.530518305265317,367491.158461609,284807.488605477
32,0.53052222481534,367487.731224743,284825.504388238
33,0.530525664535075,367484.637972112,284842.757293222
34,0.530528665458048,367481.865632415,284859.302285825
35,0.530531274465882,367479.400041578,284875.197565877
36,0.530533537504958,367477.224143288,284890.500648745
37,0.530535496788323,367475.321588778,284905.269093285
38,0.530537189451799,367473.67082687,284919.558239922
39,0.530538651957104,367472.253830306,284933.4218779
40,0.530539912224674,367471.051986443,284946.91158479
41,0.530540995552066,367470.043639576,284960.075090771
42,0.530541925880778,367469.211784085,284972.95816151
43,0.530542721244551,367468.542641555,284985.603459917
44,0.530543395581376,367468.01578711,284998.049131792
45,0.530543967926701,367467.620157286,285010.331086683
46,0.530544448669995,367467.342658926,285022.481431633
47,0.530544847613895,367467.176916134,285034.529484756
48,0.530545175903437,367467.109811842,285046.500878585
49,0.530545445299107,367467.132267376,285058.417986706
50,0.530545661572697,367466.969625712,285070.30222938
51,0.530545889483558,367466.318498767,285082.194054144
52,0.530546198891642,367465.633949479,285094.130310465
53,0.530546499757101,367464.937382451,285106.12771034
54,0.530546797025333,367464.258586933,285118.200653253
55,0.530547087634988,367463.572670446,285130.360631926
56,0.530547387332496,367462.88078835,285142.61744146
57,0.530547696399817,367462.183843079,285154.979460744
58,0.530548017076891,367461.476755072,285167.45259347
59,0.530548351492466,367460.753564632,285180.041632405
60,0.530548704738001,367460.012873238,285192.74936361
61,0.530549075871777,367459.253881856,285205.576792487
62,0.530549467145559,367458.473912047,285218.500445596
63,0.530549877772791,367457.678043797,285231.564690954
64,0.530550317112882,367456.84930857,285244.741309103
65,0.530550787833196,367455.989624413,285258.022091858
66,0.530551286090468,367455.082321751,285271.396465597
67,0.530551817609658,367454.121050485,285284.852328577
68,0.530552382509542,367453.096782845,285298.376989877
69,0.530552982063906,367452.016520426,285311.958458367
70,0.53055362084746,367450.875614054,285325.586144097
71,0.530554299917855,367449.662496936,285339.252050951
72,0.530555015112083,367448.392306571,285352.950674742
73,0.53055575314435,367447.073964073,285366.677666811
74,0.530556511055821,367445.682119989,285380.429233368
75,0.5305572971093,367443.934075922,285394.207219454
76,0.530558145854503,367441.87170582,285408.019492801
77,0.53055903715433,367439.730619632,285421.861368369
78,0.530559938087849,367437.540368454,285435.723713555
79,0.530560854281787,367435.30436605,285449.594958878
80,0.53056179243339,367433.021458136,285463.462284505
81,0.530562757510309,367430.702281725,285477.312045014
82,0.530563759262433,367428.341434937,285491.12908191
83,0.5305647851636,367425.9378611,285504.896301965
84,0.530565825780427,367423.503222866,285518.600078244
85,0.530566876761336,367421.042645998,285532.22888278
86,0.530567933293713,367418.589967253,285545.773756818
87,0.530568981413724,367416.128245567,285559.229106565
88,0.530570030536842,367413.6729374,285572.591748841
89,0.530571070875959,367411.225684341,285585.859330495
90,0.530572099780818,367408.789864911,285599.029153125
91,0.530573121632494,367406.372778872,285612.09710521
92,0.530574123411626,367403.980195564,285625.057126925
93,0.530575097918369,367401.606799611,285637.902540643
94,0.530576047436909,367399.255337119,285650.627678674
95,0.530576969499438,367396.928624449,285663.22800397
96,0.530577863703222,367394.629569723,285675.701970619
97,0.530578732143652,367392.359132888,285688.048593078
98,0.530579590762858,367390.117463197,285700.262533224
99,0.530580433590388,367387.903164967,285712.341688163
100,0.53058125761204,367385.719475191,285724.285626398
101,0.53058204973503,367383.570256608,285736.094777622
102,0.530582800177799,367381.470186151,285747.77010678
103,0.530583500824534,367379.407235582,285759.31210853
104,0.530584150069511,367377.394398467,285770.724750206
105,0.530584742074411,367375.424474835,285782.006531252
106,0.530585274161472,367373.502097276,285793.160248496
107,0.530585742947742,367371.627546749,285804.187640474
108,0.530586145718063,367369.793038873,285815.089269911
109,0.53058648711572,367367.997462346,285825.868117016
110,0.530586767984597,367366.242619206,285836.526930541
111,0.530586985375817,367364.524072923,285847.06868835
112,0.530587143027422,367362.841678662,285857.496849469
113,0.530587242113262,367361.191428617,285867.81469186
114,0.53058728275761,367359.377684221,285878.028300947
115,0.530587244507069,367357.448797048,285888.152563053
116,0.530587069593034,367355.519474684,285898.194533205
117,0.530586737405098,367353.602486403,285908.157649764
118,0.530586269390314,367351.697647246,285918.045069112
119,0.530585683770448,367349.811212984,285927.859943454
120,0.530584991548501,367347.9310495,285937.605525513
121,0.530584203125503,367346.068584011,285947.285739
122,0.530583322161619,367344.216634838,285956.904557182
123,0.53058235581553,367342.377635832,285966.466880852
124,0.53058130546838,367340.549983922,285975.977967507
125,0.530580174478971,367338.743992782,285985.443389817
126,0.53057896211205,367336.957822947,285994.869408111
127,0.530577671532752,367335.184163959,286004.260448522
