"Iteration","RMSE","ELBO_Proxy"
1,1.18320074363735,-410296.841336598
2,1.21042692871751,-393971.730093132
3,1.19824785197781,-392527.491392811
4,1.19781390703574,-392281.803770816
5,1.19835926619237,-392207.768572719
6,1.19894279768834,-392179.937519716
7,1.19946440280662,-392169.811965144
8,1.19991613502029,-392167.722183015
9,1.20030578122917,-392169.573720469
10,1.20064251919965,-392173.398343668
11,1.2009341280508,-392178.190223581
12,1.20118689591285,-392183.449724426
13,1.20140651877307,-392188.962456256
14,1.20159890298934,-392194.34265222
15,1.20176702937425,-392199.486083639
16,1.20191395014189,-392204.34407233
17,1.20204234665162,-392208.893630387
18,1.20215458688828,-392213.13018278
19,1.20225273768577,-392217.062588223
20,1.20233859236987,-392220.708594096
21,1.20241370784138,-392224.091043079
22,1.20247944448482,-392227.238482703
23,1.20253693616078,-392230.174617731
24,1.20258726907927,-392232.92345014
25,1.20263139561092,-392235.509415061
26,1.2026701549581,-392237.955869013
27,1.20270427995421,-392240.284506474
28,1.20273441098616,-392242.515740783
29,1.20276111234135,-392244.668127899
30,1.20278488019549,-392246.760805579
31,1.20280616748743,-392248.809451637
32,1.20282536894262,-392250.829227447
33,1.20284284274146,-392252.833050772
34,1.20285890647648,-392254.832106693
35,1.20287384142998,-392256.834787757
36,1.2028878861253,-392258.843935318
37,1.20290122055087,-392260.866938909
38,1.20291400765238,-392262.903120953
39,1.20292629141185,-392264.950392504
40,1.20293801881788,-392267.007065325
41,1.20294909364318,-392269.065725445
42,1.20295933608554,-392271.134298241
43,1.20296869464957,-392273.216907534
44,1.20297713750151,-392275.317330817
45,1.20298468305119,-392277.4391218
46,1.20299139858297,-392279.584747818
47,1.20299738213557,-392281.756243152
48,1.20300275742772,-392283.950050699
49,1.20300759198307,-392286.168534887
50,1.20301204000122,-392288.411873281
51,1.20301626621242,-392290.682481195
52,1.20302045108642,-392292.982398839
53,1.20302476985395,-392295.316113529
54,1.20302940631785,-392297.691379039
55,1.20303455164443,-392300.118563793
56,1.20304039438361,-392302.614603315
57,1.20304712726346,-392305.198926794
58,1.20305493335343,-392307.894953244
59,1.20306397361563,-392310.727781855
60,1.2030743480929,-392313.723588984
61,1.20308606743968,-392316.906290216
62,1.20309902113532,-392320.296369883
63,1.20311302752165,-392323.904602631
64,1.20312786735824,-392327.732664739
65,1.20314334821836,-392331.77994004
66,1.2031593657786,-392336.044906979
67,1.20317588992091,-392340.526310916
68,1.20319296185916,-392345.222298109
69,1.20321066104125,-392350.120877279
70,1.20322914691933,-392355.228690389
71,1.20324874448259,-392360.562051429
72,1.20326979750032,-392366.151914869
73,1.20329261830507,-392372.046099178
74,1.20331740150704,-392378.294601575
75,1.20334418323318,-392384.943071158
76,1.20337301123499,-392392.03190829
77,1.20340418381531,-392399.560481152
78,1.20343820057345,-392407.434928826
79,1.2034752604178,-392415.516728718
80,1.20351478996641,-392423.753870873
81,1.20355575171156,-392432.193406504
82,1.20359739381979,-392440.852495898
83,1.20363928530894,-392449.673257899
84,1.20368105521121,-392458.514489196
85,1.2037219516978,-392467.148049649
86,1.20376007373417,-392475.301533608
87,1.20379400565646,-392482.929545737
88,1.20382438974105,-392490.115713419
89,1.20385262261296,-392496.947921002
90,1.20388027391473,-392503.458890967
91,1.20390876575529,-392509.781058099
92,1.20393819316522,-392515.916848012
93,1.20396715973796,-392521.725275394
