"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.08149674686666,-370086.745846738,-415303.924002474
2,1.13609296252131,-336575.136073366,-397428.125332718
3,1.11675594471585,-331128.173062079,-394771.537938481
4,1.11644823540257,-329032.5294418,-393311.532131829
5,1.11725568426431,-327733.54164663,-392311.647568588
6,1.11776228615716,-326874.622621403,-391637.465528685
7,1.11801132157175,-326325.322397785,-391205.586737749
8,1.11810044654482,-325975.548404287,-390931.287748732
9,1.11808633671524,-325750.374551778,-390757.248795897
10,1.11799993753358,-325590.086108484,-390636.302389661
11,1.11786196617033,-325466.393807264,-390546.120793675
12,1.11769328169419,-325365.885839465,-390475.108084939
13,1.11750824092671,-325278.686567477,-390416.271728153
14,1.11730737213953,-325197.070036446,-390364.685982703
15,1.11710214478158,-325117.360757054,-390315.325949306
16,1.11689459395486,-325038.231430257,-390266.09465898
17,1.11668632090094,-324959.304219125,-390216.578406644
18,1.11648456341621,-324880.459610669,-390166.638311836
19,1.11629659863103,-324801.713971328,-390115.971731155
20,1.11612783531737,-324722.267395392,-390063.508293583
21,1.11597865501424,-324642.451503747,-390009.026134431
22,1.115856046521,-324562.331563323,-389952.097702393
23,1.11576110468251,-324481.28014406,-389892.231706084
24,1.11569397631079,-324401.166449757,-389830.291202417
25,1.11565987725094,-324322.866185345,-389766.652460037
26,1.11565812042931,-324246.043962297,-389701.342927173
27,1.11568576156694,-324172.665688323,-389635.765365481
28,1.11574367985824,-324103.568588476,-389570.936091868
29,1.11583082573938,-324039.528946466,-389507.797686795
30,1.11594550149747,-323981.08483199,-389447.074524774
31,1.11608498637016,-323928.560795068,-389389.359203661
32,1.11624562607007,-323882.096670707,-389335.157915026
33,1.11642254705352,-323841.670229644,-389284.930599831
34,1.11660976584833,-323807.447683457,-389239.184006415
35,1.11680249635614,-323779.05652989,-389197.922664108
36,1.11699778783712,-323755.804192978,-389160.919601849
37,1.11719371348719,-323737.109533665,-389127.926993374
38,1.1173884215435,-323722.520358843,-389098.711404367
39,1.11757978999104,-323711.623792342,-389073.038993284
40,1.11776552122689,-323703.993516478,-389050.655040657
41,1.11794349077177,-323699.110063949,-389031.305995377
42,1.11811108268359,-323696.502850364,-389014.666897253
43,1.11826758221256,-323695.731425205,-389000.392475077
44,1.11841286322679,-323696.406153184,-388988.154390524
45,1.11854705316772,-323698.194050183,-388977.688005339
46,1.11867046153741,-323700.805520085,-388968.676787455
47,1.1187835107828,-323704.009341398,-388960.863871105
48,1.11888672811805,-323707.619415903,-388954.070215649
49,1.11898073070539,-323711.486087147,-388948.12217444
50,1.11906616116856,-323715.4915843,-388942.869466085
51,1.11914366801741,-323719.546568865,-388938.186638912
52,1.11921389846225,-323723.584888929,-388933.968869417
53,1.11927748278235,-323727.557962549,-388930.128955134
54,1.11933502148005,-323731.431738973,-388926.594639883
55,1.11938707301036,-323735.185810292,-388923.306180093
56,1.11943416738912,-323738.850586062,-388920.216915912
57,1.11947683143154,-323742.381430129,-388917.2867265
58,1.1195154813452,-323745.768514691,-388914.479975357
59,1.11955050394094,-323749.011580051,-388911.766675178
60,1.11958224224058,-323752.111882998,-388909.121217314
61,1.11961101015594,-323755.074017416,-388906.521480627
62,1.11963709103833,-323757.898215942,-388903.948137036
63,1.11966071182539,-323760.588943141,-388901.384105543
64,1.11968210081626,-323763.156957112,-388898.81430038
65,1.11970146801248,-323765.59054607,-388896.225883764
66,1.11971894965396,-323767.891428124,-388893.609474114
67,1.11973471238928,-323770.058958987,-388890.960795184
68,1.1197489109807,-323772.098940987,-388888.28193291
69,1.11976170830107,-323774.027719174,-388885.580350243
70,1.11977329359764,-323775.870117342,-388882.865415715
71,1.1197838500249,-323777.653538261,-388880.144798795
72,1.1197935762347,-323779.400125755,-388877.422451878
73,1.11980262571948,-323781.126428449,-388874.698649078
74,1.11981112895673,-323782.84457844,-388871.970693935
75,1.11981916811897,-323784.562393928,-388869.23374047
76,1.11982680259636,-323786.287262215,-388866.481451452
77,1.11983407587571,-323788.025338284,-388863.706282152
78,1.11984101007168,-323789.783401991,-388860.89988896
79,1.11984761993383,-323791.568740983,-388858.052869888
80,1.11985392114193,-323793.383784785,-388855.155260928
81,1.11985991338817,-323795.234211119,-388852.195287968
82,1.11986565065671,-323797.112649431,-388849.161186752
83,1.11987117334755,-323799.0026793,-388846.041873535
84,1.1198765358515,-323800.877165158,-388842.830104631
85,1.1198817876409,-323802.727617603,-388839.529610872
86,1.11988673489007,-323804.51252268,-388836.156974972
87,1.11989129451128,-323806.209434248,-388832.731006016
88,1.11989547804422,-323807.817977416,-388829.267713478
89,1.11989934538682,-323809.344295966,-388825.772900686
90,1.11990294612037,-323810.785972222,-388822.251019613
91,1.1199062622483,-323812.153313734,-388818.704854042
92,1.11990927341422,-323813.473396151,-388815.139534658
93,1.11991198709171,-323814.784535649,-388811.565097884
94,1.11991444643462,-323816.123808023,-388807.994804499
95,1.11991673007065,-323817.515352928,-388804.440575443
96,1.11991892831446,-323818.970653364,-388800.909118203
97,1.11992112818952,-323820.49316364,-388797.400990428
98,1.11992339311018,-323822.082865961,-388793.911178438
99,1.11992575908248,-323823.738804054,-388790.430627948
100,1.11992824103351,-323825.462563077,-388786.94773774
101,1.11993084266067,-323827.248893189,-388783.449426758
102,1.11993353676895,-323829.097056867,-388779.921654901
103,1.11993628523456,-323831.007195623,-388776.349974177
104,1.11993905458341,-323832.982130827,-388772.720215846
105,1.11994183670383,-323835.010355756,-388769.016445166
106,1.11994469932578,-323837.086909847,-388765.219654877
107,1.11994764201001,-323839.207826069,-388761.312077188
108,1.11995064510787,-323841.363810977,-388757.275013003
109,1.11995370644644,-323843.544214938,-388753.088178188
110,1.11995682293958,-323845.743750127,-388748.730246478
111,1.11995998083841,-323847.96302528,-388744.1799506
112,1.1199631518381,-323850.211252624,-388739.417529187
113,1.11996631126218,-323852.495081722,-388734.425831689
114,1.11996948208441,-323854.816119576,-388729.191038036
115,1.11997279290673,-323857.186313816,-388723.696185932
116,1.11997645549291,-323859.603654294,-388717.903978858
117,1.11998069343418,-323862.041252619,-388711.754816189
118,1.11998536019345,-323864.235297068,-388705.27937451
119,1.11998969374938,-323866.126763594,-388698.823169544
120,1.11999275163652,-323868.094346814,-388692.67329371
121,1.11999461809531,-323870.327220741,-388686.786987887
122,1.11999598946753,-323872.794338765,-388681.053253179
123,1.11999722187869,-323875.442386523,-388675.401638708
124,1.1199984512134,-323878.235783937,-388669.792005881
125,1.11999981622955,-323881.154680247,-388664.199595682
126,1.12000150594175,-323884.188520194,-388658.606864698
127,1.12000371406125,-323887.3321275,-388652.997631142
128,1.1200066209128,-323890.581325237,-388647.353255141
129,1.12001038070184,-323893.934657742,-388641.652880733
130,1.12001512463616,-323897.483314771,-388635.915737452
131,1.12002116656391,-323901.202551159,-388630.148050856
132,1.12002847178241,-323905.052231053,-388624.33070368
133,1.12003687613511,-323909.015651086,-388618.455262698
134,1.12004619288985,-323913.089490762,-388612.518265284
135,1.12005625367691,-323917.286932138,-388606.50721362
136,1.12006692072004,-323921.628921918,-388600.441337096
137,1.12007805306917,-323926.141462364,-388594.328695614
138,1.12008958079921,-323930.849039885,-388588.175547009
139,1.12010146151077,-323935.768229243,-388581.98165461
140,1.12011367827634,-323940.909113157,-388575.739744539
141,1.120126231196,-323946.277657482,-388569.436107667
142,1.12013912625138,-323951.875966306,-388563.05174601
143,1.12015236476164,-323957.703985232,-388556.563266182
144,1.12016595015651,-323963.758826964,-388549.943483548
145,1.12017987357105,-323970.037749199,-388543.161688328
146,1.1201941233636,-323976.536079029,-388536.183701376
147,1.1202086872927,-323983.248006141,-388528.972068917
148,1.12022356435925,-323990.164694401,-388521.486900191
149,1.12023876875565,-323997.269097268,-388513.688392053
150,1.12025430612211,-324004.533525873,-388505.542646917
151,1.12027012442577,-324011.928583677,-388497.030141921
152,1.12028606090425,-324019.450340228,-388488.15057347
153,1.12030193436931,-324027.136176592,-388478.917694217
154,1.12031768348649,-324035.031873178,-388469.344950384
155,1.12033345343494,-324043.187274019,-388459.439941203
156,1.12034953152586,-324051.635704499,-388449.201784387
157,1.12036621818852,-324060.394937175,-388438.619998194
158,1.12038383214484,-324069.476150571,-388427.671488209
159,1.1204026560673,-324078.888091048,-388416.31606444
160,1.12042295320571,-324088.646005285,-388404.493907638
161,1.12044496496415,-324098.787429449,-388392.126645076
162,1.1204694909202,-324109.427483133,-388379.123106513
163,1.12049698278253,-324120.753887145,-388365.400315557
164,1.12052684503535,-324132.942093105,-388350.862860765
165,1.12055857778403,-324146.16047111,-388335.344713114
166,1.12059205546082,-324160.577146576,-388318.651905141
167,1.12062750575975,-324176.285679325,-388300.449336003
168,1.12066510604148,-324193.09993201,-388280.295198002
169,1.12070409935337,-324210.877442342,-388257.909530555
170,1.12074337250874,-324230.309961569,-388233.333154016
171,1.12078434312368,-324252.30583258,-388206.384016694
172,1.12083177719612,-324276.947592828,-388176.480357555
173,1.12088987853388,-324304.272401847,-388142.943699905
174,1.12096013799623,-324334.528640606,-388104.658181432
175,1.121043402772,-324367.207691983,-388059.803673854
176,1.12113969814788,-324401.302076656,-388006.339742569
177,1.12124732711446,-324434.719323277,-387943.112669952
178,1.12136315970133,-324466.602646898,-387871.33373005
179,1.12148398945296,-324496.674959561,-387794.663371254
180,1.12160654909618,-324520.344670732,-387718.211809113
181,1.12172387092541,-324536.89347605,-387647.322636307
182,1.12182473175128,-324550.914647501,-387582.430514243
183,1.12190513595562,-324563.266857826,-387521.377118332
184,1.12196146381637,-324572.530361733,-387462.310405652
185,1.12199644685507,-324578.177476896,-387405.655000427
186,1.12201678221416,-324582.032218088,-387354.629834047
187,1.12202497222163,-324583.724968176,-387308.561488426
188,1.12201701415558,-324584.28491568,-387266.174381884
189,1.12199335346634,-324584.102219769,-387226.799255907
190,1.1219593724215,-324583.466527704,-387189.751960763
191,1.12192074072968,-324582.379885775,-387155.834161477
192,1.12188366441797,-324581.610480312,-387127.022957878
193,1.12185018654069,-324580.31133443,-387103.865277343
194,1.12181799147465,-324578.88979288,-387085.935988716
195,1.12178860132288,-324578.011530946,-387072.655475754
196,1.12176404079524,-324577.597201717,-387062.865570753
197,1.12174473926056,-324577.467704897,-387055.385088271
198,1.12173001840262,-324577.507115862,-387049.368662062
199,1.12171888452048,-324577.659521341,-387044.286350728
200,1.12171046672107,-324577.904523104,-387039.819668573
201,1.12170415316887,-324578.237377856,-387035.776471775
202,1.1216995800546,-324578.630832007,-387032.031967377
203,1.12169660743137,-324579.103943283,-387028.505940449
204,1.12169516884206,-324579.657304515,-387025.148895309
205,1.12169511272891,-324580.289564274,-387021.92834715
206,1.12169630878447,-324581.000517821,-387018.823256318
207,1.12169859781273,-324581.790995952,-387015.820864639
208,1.12170178569003,-324582.660122371,-387012.91402756
209,1.12170565390254,-324583.602901033,-387010.098605281
210,1.12170998912174,-324584.610299336,-387007.37146813
211,1.12171460207213,-324585.670165765,-387004.729529266
212,1.1217193361789,-324586.770123944,-387002.169466338
213,1.12172406885169,-324587.898105062,-386999.687597278
214,1.12172870664149,-324589.042754358,-386997.279718755
215,1.12173317629608,-324590.192674358,-386994.940938033
216,1.12173741764704,-324591.333671132,-386992.666295542
217,1.12174136379895,-324592.464709565,-386990.459755904
218,1.12174519663693,-324593.584673443,-386988.323604388
219,1.12174919325808,-324594.692571961,-386986.252557648
220,1.12175331560922,-324595.782061789,-386984.241913288
221,1.12175747802668,-324596.852189803,-386982.287219238
222,1.12176171451192,-324597.895313198,-386980.384420616
223,1.121765923651,-324598.909244108,-386978.5299543
224,1.12177009068341,-324599.948347302,-386976.72512076
225,1.12177445489642,-324601.026175525,-386974.974072092
226,1.12177906066224,-324602.122824433,-386973.273866362
227,1.12178382577278,-324603.233963233,-386971.62122743
228,1.12178874308193,-324604.358132937,-386970.013086091
229,1.12179381360643,-324605.494928031,-386968.44646837
230,1.12179903835437,-324606.644599256,-386966.918429069
231,1.12180442105467,-324607.805814684,-386965.42636641
232,1.12180995917091,-324608.984934966,-386963.967762095
233,1.12181566981591,-324610.181892436,-386962.540319766
234,1.12182155323425,-324611.398795181,-386961.141908097
235,1.12182761562638,-324612.637642204,-386959.770487808
236,1.12183386204272,-324613.900023085,-386958.424051559
237,1.12184029411917,-324615.183604115,-386957.100552985
238,1.12184690384715,-324616.495684357,-386955.797920986
239,1.12185370719502,-324617.833898424,-386954.513880472
240,1.12186069483809,-324619.198049479,-386953.246127358
241,1.12186786297759,-324620.587665355,-386951.992118396
242,1.12187520726553,-324622.002091542,-386950.749146379
243,1.12188272335514,-324623.440351138,-386949.514280339
244,1.12189040674624,-324624.900784924,-386948.284338966
245,1.1218982479744,-324626.361388404,-386947.057157086
246,1.12190613346248,-324627.801163735,-386945.832604144
247,1.12191390939444,-324629.235977569,-386944.607535265
248,1.1219216358198,-324630.664457598,-386943.378308922
249,1.12192933347983,-324632.082146063,-386942.141513092
250,1.12193701811761,-324633.483795695,-386940.894538476
251,1.12194470559854,-324634.864955577,-386939.636348338
252,1.12195241262791,-324636.224572462,-386938.368160384
253,1.1219601566239,-324637.566358579,-386937.09340194
254,1.12196795408143,-324638.897921688,-386935.816558901
255,1.121975809507,-324640.227066024,-386934.541604718
256,1.12198371419963,-324641.556446956,-386933.270790708
257,1.12199163496249,-324642.888501729,-386932.004734803
258,1.12199954613762,-324644.223499473,-386930.742609993
259,1.12200742504896,-324645.559476902,-386929.482713273
260,1.12201524859199,-324646.893878203,-386928.222889564
261,1.12202299672374,-324648.22443044,-386926.960756644
262,1.12203065827989,-324649.549983346,-386925.693938471
263,1.12203822842423,-324650.870284196,-386924.420168113
264,1.12204570845867,-324652.185921115,-386923.137396456
265,1.12205310438474,-324653.498932023,-386921.843847707
266,1.12206042607586,-324654.811752525,-386920.538020058
267,1.12206768394152,-324656.127746516,-386919.218642568
268,1.12207488775218,-324657.465706245,-386917.882843521
269,1.1220820898479,-324658.832897154,-386916.526839631
270,1.12208930877088,-324660.228101708,-386915.148259278
271,1.12209653719107,-324661.652360389,-386913.744625904
272,1.1221037747807,-324663.106253257,-386912.313277396
273,1.1221110187268,-324664.594934548,-386910.851323171
274,1.12211828805886,-324666.106403951,-386909.355827756
275,1.12212556715242,-324667.641853375,-386907.824326523
276,1.12213288215141,-324669.197431094,-386906.255191872
277,1.12214025839342,-324670.768311448,-386904.648142581
278,1.12214772529424,-324672.350040193,-386903.004393594
279,1.12215530959487,-324673.939148949,-386901.326197126
280,1.12216302690793,-324675.532928535,-386899.615983137
281,1.12217087567133,-324677.128676424,-386897.875388362
282,1.12217883787351,-324678.723070908,-386896.104516027
283,1.1221868838188,-324680.31228251,-386894.301760092
284,1.12219498164658,-324681.893183535,-386892.46431947
285,1.12220310204982,-324683.464814668,-386890.589596969
286,1.12221121994545,-324685.028191913,-386888.677243022
287,1.12221931177223,-324686.581902708,-386886.731178974
288,1.12222735086973,-324688.114747441,-386884.760919027
289,1.12223530305206,-324689.601173207,-386882.782262099
290,1.12224312678597,-324691.006023913,-386880.817459191
291,1.12225077147526,-324692.29844589,-386878.893932197
292,1.1222581911189,-324693.463163303,-386877.040898468
293,1.12226534951968,-324694.507091151,-386875.283965359
294,1.12227222928101,-324695.453681295,-386873.640842383
295,1.12227883454985,-324696.333561982,-386872.119784753
296,1.1222851837675,-324697.174419247,-386870.720854821
297,1.12229130020919,-324697.9963549,-386869.438362291
298,1.1222972050852,-324698.811752499,-386868.263724706
299,1.12230291388752,-324699.626289686,-386867.187010663
300,1.12230843577452,-324700.441353574,-386866.198216243
