"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.18320074363735,-409096.628074637,-442246.454003409
2,1.19924217674368,-393515.44058004,-434213.3043497
3,1.19387173684447,-392310.366227233,-433581.602086645
4,1.19473139953282,-392104.149148435,-433367.000229402
5,1.19557390492564,-392035.874347104,-433260.326673253
6,1.19625752473839,-392006.583722902,-433195.498041006
7,1.19680305359313,-391992.5549809,-433150.723654067
8,1.19724248924011,-391985.593403893,-433117.249341074
9,1.19760188860072,-391982.285473621,-433090.92141739
10,1.19789978783253,-391981.003583208,-433069.469005113
11,1.1981491430998,-391980.875642483,-433051.494154349
12,1.19835928275004,-391981.388826497,-433036.060619825
13,1.19853722790128,-391982.216774223,-433022.507810438
14,1.19868842097772,-391983.150246765,-433010.357570595
15,1.19881718795802,-391984.055871741,-432999.25791947
16,1.19892702269776,-391984.852040005,-432988.946498021
17,1.19902078530442,-391985.493494463,-432979.226165442
18,1.19910084212628,-391985.961090634,-432969.947615851
19,1.19916916529804,-391986.253043801,-432960.997374025
20,1.19922740632521,-391986.378654394,-432952.293741881
21,1.19927695630248,-391986.351975152,-432943.761558545
22,1.19931898805736,-391986.188338475,-432935.338779772
23,1.1993544983777,-391985.893754224,-432926.985199548
24,1.1993843172749,-391986.464429448,-432918.644843353
25,1.19941115079505,-391987.395327002,-432910.198521189
26,1.19943477045665,-391988.289042886,-432901.589056432
27,1.19945491474481,-391989.127894024,-432892.78066619
28,1.19947193064631,-391989.883919116,-432883.730288867
29,1.19948601873095,-391990.547736802,-432874.397396331
30,1.19949776364683,-391991.15815207,-432864.771611391
31,1.19950754073473,-391991.783522731,-432854.851208503
32,1.19951567045159,-391992.48009818,-432844.619806817
33,1.19952252061953,-391993.270707152,-432834.032460384
34,1.19952853433575,-391994.072812414,-432823.022480773
35,1.19953397677474,-391994.87479756,-432811.573185574
36,1.19953913715349,-391995.748002869,-432799.674626666
37,1.19954416857446,-391996.698979622,-432787.298770954
38,1.19954912767882,-391997.750800041,-432774.417402495
39,1.19955416027728,-391998.916309959,-432761.002592662
40,1.19955938176509,-392000.206858686,-432747.028288628
41,1.19956489093907,-392001.632846928,-432732.472484049
42,1.19957076428451,-392003.205905871,-432717.318868236
43,1.19957705406892,-392004.934845429,-432701.557144057
44,1.19958375855694,-392006.846832618,-432685.180318785
45,1.19959104598344,-392008.925828762,-432668.145363632
46,1.19959945557571,-392011.117292379,-432650.470602084
47,1.19960786675438,-392013.543253271,-432632.242610881
48,1.19961556385345,-392016.257860171,-432613.423230591
49,1.19962263516099,-392019.150876528,-432593.89823961
50,1.19963016499632,-392022.233592006,-432573.701924928
51,1.19963858110135,-392025.497338451,-432552.85810177
52,1.19964770750611,-392028.880328222,-432531.335901501
53,1.19965657157596,-392032.353013618,-432509.124755081
54,1.19966558408415,-392035.910318249,-432486.32000646
55,1.19967520335072,-392039.538415484,-432463.070627233
56,1.19968499407361,-392043.259542309,-432439.523882166
57,1.19969441624178,-392047.064511656,-432415.782819193
58,1.19970321549853,-392050.900458345,-432391.913412664
59,1.19971122884271,-392054.688569916,-432367.958261403
60,1.19971833432858,-392058.35933458,-432343.946959205
61,1.19972509050681,-392061.863343085,-432319.920882684
62,1.19973217549477,-392065.361942201,-432296.062492895
63,1.19973680729124,-392068.85305806,-432272.486121255
64,1.19973980004545,-392072.414721823,-432249.263880041
65,1.19974148500538,-392076.202064886,-432226.48759679
66,1.19974242997246,-392080.201505091,-432204.172070038
67,1.19974334680125,-392084.488571991,-432182.338611106
68,1.19974480654611,-392089.195749703,-432161.09231701
69,1.19974600436005,-392094.190929576,-432140.385830263
70,1.19974680770268,-392099.422913582,-432120.080646991
71,1.19974742467259,-392105.000455232,-432100.13482373
72,1.1997482418503,-392111.050325582,-432080.508313286
73,1.19974953958009,-392117.588753659,-432061.16413629
74,1.19975156944982,-392124.611278722,-432042.040879976
75,1.19975456606685,-392132.119617851,-432023.074160226
76,1.1997587482036,-392140.114997261,-432004.208178448
77,1.19976429527284,-392148.592957486,-431985.397297332
78,1.19977133790248,-392157.553322066,-431966.609416551
79,1.199779969994,-392167.010953726,-431947.829351939
80,1.1997902676093,-392176.993484553,-431929.027260563
81,1.19980228447908,-392187.545028259,-431910.185125848
82,1.19981612724246,-392198.68808166,-431891.275377599
83,1.19983191090154,-392210.424318297,-431872.262010202
84,1.19984981611262,-392222.722108399,-431853.105357408
85,1.19987004800244,-392235.470895127,-431833.768029635
86,1.19989277829066,-392248.66034322,-431814.256596569
87,1.19991743039991,-392261.864546068,-431794.70796607
88,1.19994367651417,-392274.628715284,-431775.286704426
89,1.1999709473983,-392286.417818157,-431756.22728636
90,1.19999902727808,-392296.756919167,-431737.856669002
91,1.20002584384018,-392305.294510894,-431720.502860444
92,1.20005009543109,-392311.847720434,-431704.390490504
93,1.20007125476076,-392316.472779155,-431689.645891281
94,1.20008928004633,-392319.552977666,-431676.289882655
95,1.20010409558237,-392321.572249547,-431664.172902874
96,1.20011522606079,-392322.890790319,-431653.050295476
97,1.2001225037318,-392323.741358181,-431642.694132128
98,1.20012636407883,-392324.28798109,-431632.94345148
99,1.20012761386073,-392324.648100793,-431623.69764425
100,1.20012703166375,-392324.894729703,-431614.889656932
101,1.20012518695373,-392325.06858185,-431606.468708927
102,1.20012247609976,-392325.193556409,-431598.394937684
103,1.20011919550518,-392325.256406115,-431590.637038476
104,1.20011557049176,-392325.294328414,-431583.168483465
105,1.20011182330341,-392325.314691953,-431575.96625022
106,1.20010808614101,-392325.321900911,-431569.010583051
107,1.20010446081324,-392325.319934011,-431562.284447807
108,1.20010102472867,-392325.312419122,-431555.772893055
109,1.20009783346765,-392325.302714431,-431549.46268939
110,1.20009492251341,-392325.293429994,-431543.341733867
111,1.20009231057742,-392325.286435125,-431537.398858584
112,1.2000900026784,-392325.282827556,-431531.623578839
113,1.20008799352214,-392325.283066544,-431526.006019918
114,1.20008627099265,-392325.287181084,-431520.536904312
115,1.20008481930364,-392325.294966344,-431515.207593102
116,1.20008362119631,-392325.306143565,-431510.010091747
117,1.20008265973033,-392325.320457579,-431504.937100182
118,1.20008191885274,-392325.3375525,-431499.981937333
119,1.20008138363986,-392325.357115077,-431495.138582274
120,1.20008103995194,-392325.378728287,-431490.401554608
121,1.20008087401524,-392325.401853309,-431485.765805705
122,1.20008087230993,-392325.425687451,-431481.226783381
123,1.20008102136137,-392325.449449911,-431476.780261528
124,1.20008130783033,-392325.478799111,-431472.422024941
125,1.20008170752341,-392325.514121859,-431468.146024974
126,1.20008221306189,-392325.546817263,-431463.947800181
