"Iteration","RMSE","ELBO_Proxy","ELBO_Full"
1,1.08149674686666,-368417.278459693,-414266.383234297
2,1.11754736848071,-335673.803457843,-396937.793283694
3,1.10251994626327,-331448.560345304,-395100.542075363
4,1.10323537685524,-330356.725571123,-394319.189707775
5,1.10515470540683,-329537.312200393,-393643.521103472
6,1.10756995752019,-328503.869257686,-392784.634317896
7,1.11058314199511,-327380.297706202,-391827.827249463
8,1.11341323766795,-326499.823277139,-391089.626782079
9,1.1149447454975,-325923.791619752,-390633.476174713
10,1.11514427240641,-325568.196499014,-390358.498886628
11,1.1149684916966,-325331.190703331,-390174.723443917
12,1.11472540339921,-325150.971900611,-390034.951943738
13,1.11446158027158,-324997.600211721,-389916.312166806
14,1.11418768598476,-324857.830608902,-389808.253784738
15,1.11391503156796,-324726.77063772,-389706.347597137
16,1.1136571850988,-324602.193080953,-389607.99393634
17,1.11342303633387,-324483.477492854,-389511.908063401
18,1.11322184283984,-324371.168003677,-389417.848452091
19,1.113061537266,-324265.928091141,-389325.86840293
20,1.11294747204518,-324168.325412394,-389236.20032231
21,1.11288239515257,-324078.755306326,-389149.035892306
22,1.1128669688173,-323997.23104074,-389064.387657527
23,1.11289970707984,-323923.711913631,-388982.386117557
24,1.11297721704548,-323858.062587047,-388903.209347668
25,1.11309483719676,-323800.024121555,-388827.02369983
26,1.11324691815502,-323749.246300432,-388753.962967339
27,1.11342740662374,-323705.30136717,-388684.134121895
28,1.11363013378691,-323667.724002349,-388617.606760253
29,1.11384911868212,-323635.993103317,-388554.388266317
30,1.11407876365059,-323609.587122433,-388494.451319719
31,1.11431404076849,-323588.057561598,-388437.742685943
32,1.11455069176379,-323570.796177524,-388384.124308071
33,1.11478503200017,-323557.327340613,-388333.450334254
34,1.11501371625525,-323547.104157636,-388285.591649371
35,1.1152340537314,-323539.590863567,-388240.412612662
36,1.11544401002767,-323535.360234366,-388197.66343478
37,1.1156439936669,-323533.161132696,-388157.018704454
38,1.11583222934298,-323532.456281511,-388118.236453893
39,1.11600849698512,-323533.004877728,-388081.152067047
40,1.11617307542908,-323534.671274904,-388045.615482076
41,1.11632628179025,-323537.30372903,-388011.437179331
