"Iteration","RMSE","ELBO_Proxy"
1,0.98932871485191,-143968.831432226
2,1.037639528073,-127162.464145373
3,0.999139627333519,-125231.404328773
4,0.997707446236857,-125065.082869691
5,0.997621723379372,-125048.64934033
6,0.997618804541144,-125047.406811415
7,0.997622729167058,-125048.249223525
8,0.99762817788316,-125049.455942012
9,0.997634284917088,-125050.713252008
10,0.997640785497294,-125051.93080534
11,0.997647741087776,-125053.021432756
12,0.99765510509951,-125053.88613157
13,0.997662255856336,-125054.49970961
14,0.997668447497053,-125054.934013792
15,0.997673567711156,-125055.285339221
16,0.997677974595388,-125055.624956684
17,0.997682028289501,-125055.998209784
18,0.997685942567092,-125056.439018752
19,0.997689842824973,-125056.97852762
20,0.997693850116674,-125057.645032089
21,0.997698160194073,-125058.450958399
22,0.997703062407145,-125059.367603921
23,0.997708812246856,-125060.313182982
24,0.997715272427504,-125061.199884252
25,0.997721730772194,-125062.017728313
26,0.997727481832858,-125062.841325952
27,0.997732464795052,-125063.76159469
28,0.997737088519214,-125064.838766438
29,0.99774181007666,-125066.09682408
30,0.997746965933921,-125067.531544678
31,0.997752754857185,-125069.118945687
32,0.997759242265451,-125070.821300148
33,0.997766348717889,-125072.595336187
34,0.997773863839647,-125074.399531775
35,0.997781497948814,-125076.197830228
36,0.997788957537625,-125077.955220645
37,0.997795972331558,-125079.627803151
38,0.997802260082496,-125081.146615926
39,0.997807484963354,-125082.391591374
40,0.997811416139073,-125083.195475123
41,0.997814768341391,-125083.571303728
42,0.997820253922338,-125083.957954394
43,0.99782964420599,-125084.412539175
44,0.997841377696555,-125084.440995908
45,0.997854801798078,-125083.692181548
46,0.997868048487025,-125082.40852912
47,0.997875356113778,-125082.049685024
48,0.997876248536185,-125083.883528785
49,0.997880768170293,-125087.972564367
50,0.99789357888988,-125091.745575802
51,0.997911870981776,-125095.912947256
52,0.997930024418915,-125094.100485446
53,0.997931847979177,-125075.928818111
54,0.997959399645027,-125050.680178924
55,0.997926051518075,-125048.35242797
56,0.997921752583943,-125056.045016089
57,0.997955571377613,-125058.151511603
58,0.997998709700479,-125042.683644929
59,0.9979695294907,-125025.352697934
60,0.99790704642423,-125022.586176878
61,0.997900101135669,-125022.096790806
